TIC,Type,per_vsx,vsx_token,expected_class,vis_multi,vis_notes
464635983,EA,7.3546,EA,E,True,
464730621,ELL,2.10883,ELL,ELL,True,
464738620,EA,3.12881,EA,E,False,
465145959,BCEP,0.2078958,BCEP,,True,
465348709,DCEP,4.67461,DCEP,CEP,False,
466156210,BCEP,0.1625394,BCEP,,False,
466300568,ELL,2.3815,ELL,ELL,False,
467023914,BCEP,0.1485792,BCEP,,False,
467051092,EA,5.38294,EA,E,False,
467055341,EA,0.9628,EA,E,False,
467238286,EA/DM,3.41427,EA,E,False,
467279235,ELL,3.93616,ELL,ELL,True,
467283255,BCEP,0.1931032,BCEP,,False,
467448794,BCEP,0.1853522,BCEP,,True,
469857617,EB/DM,1.630486,EB,E,False,
