TIC,sector,dataURI,productFilename
31414244,69,mast:HLSP/tess-spoc/s0069/target/0000/0000/3141/4244/hlsp_tess-spoc_tess_phot_0000000031414244-s0069_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000031414244-s0069_tess_v1_lc.fits
130150682,39,mast:HLSP/tess-spoc/s0039/target/0000/0001/3015/0682/hlsp_tess-spoc_tess_phot_0000000130150682-s0039_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000130150682-s0039_tess_v1_lc.fits
381038804,64,mast:HLSP/tess-spoc/s0064/target/0000/0003/8103/8804/hlsp_tess-spoc_tess_phot_0000000381038804-s0064_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000381038804-s0064_tess_v1_lc.fits
381038804,65,mast:HLSP/tess-spoc/s0065/target/0000/0003/8103/8804/hlsp_tess-spoc_tess_phot_0000000381038804-s0065_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000381038804-s0065_tess_v1_lc.fits
215675516,80,mast:HLSP/tess-spoc/s0080/target/0000/0002/1567/5516/hlsp_tess-spoc_tess_phot_0000000215675516-s0080_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000215675516-s0080_tess_v1_lc.fits
180119596,80,mast:HLSP/tess-spoc/s0080/target/0000/0001/8011/9596/hlsp_tess-spoc_tess_phot_0000000180119596-s0080_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000180119596-s0080_tess_v1_lc.fits
183482805,80,mast:HLSP/tess-spoc/s0080/target/0000/0001/8348/2805/hlsp_tess-spoc_tess_phot_0000000183482805-s0080_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000183482805-s0080_tess_v1_lc.fits
186427056,80,mast:HLSP/tess-spoc/s0080/target/0000/0001/8642/7056/hlsp_tess-spoc_tess_phot_0000000186427056-s0080_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000186427056-s0080_tess_v1_lc.fits
222767597,80,mast:HLSP/tess-spoc/s0080/target/0000/0002/2276/7597/hlsp_tess-spoc_tess_phot_0000000222767597-s0080_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000222767597-s0080_tess_v1_lc.fits
124671431,66,mast:HLSP/tess-spoc/s0066/target/0000/0001/2467/1431/hlsp_tess-spoc_tess_phot_0000000124671431-s0066_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000124671431-s0066_tess_v1_lc.fits
277197160,65,mast:HLSP/tess-spoc/s0065/target/0000/0002/7719/7160/hlsp_tess-spoc_tess_phot_0000000277197160-s0065_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000277197160-s0065_tess_v1_lc.fits
346509039,66,mast:HLSP/tess-spoc/s0066/target/0000/0003/4650/9039/hlsp_tess-spoc_tess_phot_0000000346509039-s0066_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000346509039-s0066_tess_v1_lc.fits
381892596,66,mast:HLSP/tess-spoc/s0066/target/0000/0003/8189/2596/hlsp_tess-spoc_tess_phot_0000000381892596-s0066_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000381892596-s0066_tess_v1_lc.fits
177842223,80,mast:HLSP/tess-spoc/s0080/target/0000/0001/7784/2223/hlsp_tess-spoc_tess_phot_0000000177842223-s0080_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000177842223-s0080_tess_v1_lc.fits
31031069,66,mast:HLSP/tess-spoc/s0066/target/0000/0000/3103/1069/hlsp_tess-spoc_tess_phot_0000000031031069-s0066_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000031031069-s0066_tess_v1_lc.fits
385525361,80,mast:HLSP/tess-spoc/s0080/target/0000/0003/8552/5361/hlsp_tess-spoc_tess_phot_0000000385525361-s0080_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000385525361-s0080_tess_v1_lc.fits
216693041,80,mast:HLSP/tess-spoc/s0080/target/0000/0002/1669/3041/hlsp_tess-spoc_tess_phot_0000000216693041-s0080_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000216693041-s0080_tess_v1_lc.fits
463772527,66,mast:HLSP/tess-spoc/s0066/target/0000/0004/6377/2527/hlsp_tess-spoc_tess_phot_0000000463772527-s0066_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000463772527-s0066_tess_v1_lc.fits
132672189,80,mast:HLSP/tess-spoc/s0080/target/0000/0001/3267/2189/hlsp_tess-spoc_tess_phot_0000000132672189-s0080_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000132672189-s0080_tess_v1_lc.fits
122205843,66,mast:HLSP/tess-spoc/s0066/target/0000/0001/2220/5843/hlsp_tess-spoc_tess_phot_0000000122205843-s0066_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000122205843-s0066_tess_v1_lc.fits
217729833,80,mast:HLSP/tess-spoc/s0080/target/0000/0002/1772/9833/hlsp_tess-spoc_tess_phot_0000000217729833-s0080_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000217729833-s0080_tess_v1_lc.fits
338531279,64,mast:HLSP/tess-spoc/s0064/target/0000/0003/3853/1279/hlsp_tess-spoc_tess_phot_0000000338531279-s0064_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000338531279-s0064_tess_v1_lc.fits
338531279,65,mast:HLSP/tess-spoc/s0065/target/0000/0003/3853/1279/hlsp_tess-spoc_tess_phot_0000000338531279-s0065_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000338531279-s0065_tess_v1_lc.fits
106774563,80,mast:HLSP/tess-spoc/s0080/target/0000/0001/0677/4563/hlsp_tess-spoc_tess_phot_0000000106774563-s0080_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000106774563-s0080_tess_v1_lc.fits
181141151,61,mast:HLSP/tess-spoc/s0061/target/0000/0001/8114/1151/hlsp_tess-spoc_tess_phot_0000000181141151-s0061_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000181141151-s0061_tess_v1_lc.fits
181141151,62,mast:HLSP/tess-spoc/s0062/target/0000/0001/8114/1151/hlsp_tess-spoc_tess_phot_0000000181141151-s0062_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000181141151-s0062_tess_v1_lc.fits
395154410,80,mast:HLSP/tess-spoc/s0080/target/0000/0003/9515/4410/hlsp_tess-spoc_tess_phot_0000000395154410-s0080_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000395154410-s0080_tess_v1_lc.fits
395154410,81,mast:HLSP/tess-spoc/s0081/target/0000/0003/9515/4410/hlsp_tess-spoc_tess_phot_0000000395154410-s0081_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000395154410-s0081_tess_v1_lc.fits
5331069,66,mast:HLSP/tess-spoc/s0066/target/0000/0000/0533/1069/hlsp_tess-spoc_tess_phot_0000000005331069-s0066_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000005331069-s0066_tess_v1_lc.fits
395577072,80,mast:HLSP/tess-spoc/s0080/target/0000/0003/9557/7072/hlsp_tess-spoc_tess_phot_0000000395577072-s0080_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000395577072-s0080_tess_v1_lc.fits
395577072,81,mast:HLSP/tess-spoc/s0081/target/0000/0003/9557/7072/hlsp_tess-spoc_tess_phot_0000000395577072-s0081_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000395577072-s0081_tess_v1_lc.fits
396404087,80,mast:HLSP/tess-spoc/s0080/target/0000/0003/9640/4087/hlsp_tess-spoc_tess_phot_0000000396404087-s0080_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000396404087-s0080_tess_v1_lc.fits
396404087,81,mast:HLSP/tess-spoc/s0081/target/0000/0003/9640/4087/hlsp_tess-spoc_tess_phot_0000000396404087-s0081_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000396404087-s0081_tess_v1_lc.fits
195834343,66,mast:HLSP/tess-spoc/s0066/target/0000/0001/9583/4343/hlsp_tess-spoc_tess_phot_0000000195834343-s0066_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000195834343-s0066_tess_v1_lc.fits
54681114,80,mast:HLSP/tess-spoc/s0080/target/0000/0000/5468/1114/hlsp_tess-spoc_tess_phot_0000000054681114-s0080_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000054681114-s0080_tess_v1_lc.fits
253127988,64,mast:HLSP/tess-spoc/s0064/target/0000/0002/5312/7988/hlsp_tess-spoc_tess_phot_0000000253127988-s0064_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000253127988-s0064_tess_v1_lc.fits
253127988,65,mast:HLSP/tess-spoc/s0065/target/0000/0002/5312/7988/hlsp_tess-spoc_tess_phot_0000000253127988-s0065_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000253127988-s0065_tess_v1_lc.fits
272514690,65,mast:HLSP/tess-spoc/s0065/target/0000/0002/7251/4690/hlsp_tess-spoc_tess_phot_0000000272514690-s0065_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000272514690-s0065_tess_v1_lc.fits
175626103,66,mast:HLSP/tess-spoc/s0066/target/0000/0001/7562/6103/hlsp_tess-spoc_tess_phot_0000000175626103-s0066_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000175626103-s0066_tess_v1_lc.fits
247143687,66,mast:HLSP/tess-spoc/s0066/target/0000/0002/4714/3687/hlsp_tess-spoc_tess_phot_0000000247143687-s0066_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000247143687-s0066_tess_v1_lc.fits
222852929,80,mast:HLSP/tess-spoc/s0080/target/0000/0002/2285/2929/hlsp_tess-spoc_tess_phot_0000000222852929-s0080_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000222852929-s0080_tess_v1_lc.fits
181724026,62,mast:HLSP/tess-spoc/s0062/target/0000/0001/8172/4026/hlsp_tess-spoc_tess_phot_0000000181724026-s0062_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000181724026-s0062_tess_v1_lc.fits
342388505,66,mast:HLSP/tess-spoc/s0066/target/0000/0003/4238/8505/hlsp_tess-spoc_tess_phot_0000000342388505-s0066_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000342388505-s0066_tess_v1_lc.fits
441983695,64,mast:HLSP/tess-spoc/s0064/target/0000/0004/4198/3695/hlsp_tess-spoc_tess_phot_0000000441983695-s0064_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000441983695-s0064_tess_v1_lc.fits
441983695,65,mast:HLSP/tess-spoc/s0065/target/0000/0004/4198/3695/hlsp_tess-spoc_tess_phot_0000000441983695-s0065_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000441983695-s0065_tess_v1_lc.fits
263675855,66,mast:HLSP/tess-spoc/s0066/target/0000/0002/6367/5855/hlsp_tess-spoc_tess_phot_0000000263675855-s0066_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000263675855-s0066_tess_v1_lc.fits
386345413,80,mast:HLSP/tess-spoc/s0080/target/0000/0003/8634/5413/hlsp_tess-spoc_tess_phot_0000000386345413-s0080_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000386345413-s0080_tess_v1_lc.fits
312912020,65,mast:HLSP/tess-spoc/s0065/target/0000/0003/1291/2020/hlsp_tess-spoc_tess_phot_0000000312912020-s0065_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000312912020-s0065_tess_v1_lc.fits
308333772,80,mast:HLSP/tess-spoc/s0080/target/0000/0003/0833/3772/hlsp_tess-spoc_tess_phot_0000000308333772-s0080_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000308333772-s0080_tess_v1_lc.fits
53632032,80,mast:HLSP/tess-spoc/s0080/target/0000/0000/5363/2032/hlsp_tess-spoc_tess_phot_0000000053632032-s0080_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000053632032-s0080_tess_v1_lc.fits
163812501,65,mast:HLSP/tess-spoc/s0065/target/0000/0001/6381/2501/hlsp_tess-spoc_tess_phot_0000000163812501-s0065_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000163812501-s0065_tess_v1_lc.fits
188674295,66,mast:HLSP/tess-spoc/s0066/target/0000/0001/8867/4295/hlsp_tess-spoc_tess_phot_0000000188674295-s0066_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000188674295-s0066_tess_v1_lc.fits
106702430,80,mast:HLSP/tess-spoc/s0080/target/0000/0001/0670/2430/hlsp_tess-spoc_tess_phot_0000000106702430-s0080_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000106702430-s0080_tess_v1_lc.fits
332928247,80,mast:HLSP/tess-spoc/s0080/target/0000/0003/3292/8247/hlsp_tess-spoc_tess_phot_0000000332928247-s0080_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000332928247-s0080_tess_v1_lc.fits
231788908,66,mast:HLSP/tess-spoc/s0066/target/0000/0002/3178/8908/hlsp_tess-spoc_tess_phot_0000000231788908-s0066_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000231788908-s0066_tess_v1_lc.fits
183548180,80,mast:HLSP/tess-spoc/s0080/target/0000/0001/8354/8180/hlsp_tess-spoc_tess_phot_0000000183548180-s0080_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000183548180-s0080_tess_v1_lc.fits
196657447,66,mast:HLSP/tess-spoc/s0066/target/0000/0001/9665/7447/hlsp_tess-spoc_tess_phot_0000000196657447-s0066_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000196657447-s0066_tess_v1_lc.fits
227587714,66,mast:HLSP/tess-spoc/s0066/target/0000/0002/2758/7714/hlsp_tess-spoc_tess_phot_0000000227587714-s0066_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000227587714-s0066_tess_v1_lc.fits
