TIC,Type,per_vsx,label,vsx_token,expected_class,per_det,brf_class,period_match,grupo,vis_verdict,vis_shape,vis_notes,vis_date,vis_multi
33678125,BCEP,0.0590356,1,BCEP,,,,,acuerdo,,,,,
40479710,GDOR,1.23198,1,GDOR,,,,,acuerdo,,,,,
40822942,ACV|EC|ESD,0.945548,1,ACV,,,,,acuerdo,,,,,
42244951,EB,4.2846028,1,EB,E,,,,acuerdo,ok,,,2026-09-05,False
42365645,EA+BCEP,1.50626,1,EA,E,,,,acuerdo,,,,,
42534550,BCEP,0.1431141,1,BCEP,,,,,acuerdo,,,,,
42738942,EA,8.7061,1,EA,E,,,,acuerdo,,,,,
43189114,EA/DM,2.00738,1,EA,E,,,,acuerdo,,,,,
43881045,BCEP,0.140398,1,BCEP,,,,,acuerdo,,,,,
44755160,VAR,3.74185,1,VAR,,,,,acuerdo,unconstrained,,,2026-09-05,True
44980675,BCEP,0.193851,1,BCEP,,,,,acuerdo,,,,,
45037093,VAR,1.950298,1,VAR,,,,,acuerdo,,,,,
45285604,VAR,1.96219,1,VAR,,,,,acuerdo,bad,,noise?,2026-09-05,False
45377083,VAR,1.96219,1,VAR,,,,,acuerdo,,,,,
45446943,EA,4.353161,1,EA,E,,,,acuerdo,,,,,
45709015,GDOR,1.84942,1,GDOR,,,,,acuerdo,,,,,
45899911,VAR,2.383698,1,VAR,,,,,acuerdo,bad,,noise?,2026-09-05,False
45909257,VAR,9.90151,1,VAR,,,,,acuerdo,,,,,
46239533,VAR,3.512464,1,VAR,,,,,acuerdo,,,,,
46282359,BCEP,0.1807755,1,BCEP,,,,,acuerdo,,,,,
50608476,DCEP,3.832472,1,DCEP,CEP,,,,acuerdo,,,,,
51879141,BE|GCAS|SDOR|WR,7.5822,1,BE,,,,,acuerdo,,,,,
51882713,DSCT|GDOR|SXPHE,2.04848,1,DSCT,DST,,,,acuerdo,,,,,
52855264,EA/DM,2.4893427,1,EA,E,,,,acuerdo,,,,,
52855592,DSCT|GDOR|SXPHE,1.75698,1,DSCT,DST,,,,acuerdo,,,,,
52861326,DSCT|GDOR|SXPHE,1.22691,1,DSCT,DST,,,,acuerdo,,,,,
54365610,DSCT|GDOR|SXPHE,1.54105,1,DSCT,DST,,,,acuerdo,,,,,
54887506,DSCT|GDOR|SXPHE,0.0804099,1,DSCT,DST,,,,acuerdo,bad,,EB? solo un eclipse,2026-09-05,False
55003265,E,1.66024,1,E,E,,,,acuerdo,ok,,,2026-09-05,False
55839455,BCEP,0.2106475,1,BCEP,,,,,acuerdo,ok,,,2026-09-05,False
56023695,EA,8.178,1,EA,E,,,,acuerdo,ok,,mal phot pero good per,2026-09-05,False
58830498,BCEP,0.117493,1,BCEP,,,,,acuerdo,ok,,,2026-09-05,False
60433558,EA+BCEP,10.79824,1,EA,E,,,,acuerdo,ok,,,2026-09-05,True
63970987,E,1.49142,1,E,E,,,,acuerdo,ok,,,2026-09-05,False
63971857,ELL,1.50873,1,ELL,ELL,,,,acuerdo,ok,,,2026-09-05,False
64734983,DSCT|GDOR|SXPHE,7.2612,1,DSCT,DST,,,,acuerdo,unconstrained,,,2026-09-05,True
69049226,PULS,1.0,1,PULS,,,,,acuerdo,bad,,,2026-09-05,True
72285450,DCEPS,3.088,1,DCEPS,CEP,,,,acuerdo,ok,,,2026-09-05,False
76734245,DCEP,1.49512,1,DCEP,CEP,,,,acuerdo,ok,,,2026-09-05,False
78652307,BCEP,0.016343,1,BCEP,,,,,acuerdo,bad,,Hay periodo,2026-09-05,False
78887878,EC|ESD,1.8542,1,EC,E,,,,acuerdo,ok,,,2026-09-05,False
80724706,ACYG:,1.46667,1,ACYG,,,,,acuerdo,unconstrained,,,2026-09-05,True
81821733,E,4.93638,1,E,E,,,,acuerdo,ok,,,2026-09-05,False
81972427,VAR,1.80786,1,VAR,,,,,acuerdo,ok,,maybe ELL,2026-09-05,False
82217886,EA,9.35928,1,EA,E,,,,acuerdo,unconstrained,,,2026-09-05,True
83138543,EB,6.107295,1,EB,E,,,,acuerdo,ok,,,2026-09-05,False
83624907,VAR,1.93684,1,VAR,,,,,acuerdo,ok,,,2026-09-05,False
83706075,VAR,3.76373,1,VAR,,,,,acuerdo,unconstrained,,o el periodo no cierra,2026-09-05,True
83771935,PULS,7.5683,1,PULS,,,,,acuerdo,unconstrained,,,2026-09-05,True
84342714,VAR,2.87076,1,VAR,,,,,acuerdo,bad,,es otro periodo,2026-09-05,False
84342725,EA+BCEP,2.6983845,1,EA,E,,,,acuerdo,ok,,,2026-09-05,False
86299451,EB,2.2541,1,EB,E,,,,acuerdo,ok,,,2026-09-05,False
87014767,EA,5.6866,1,EA,E,,,,acuerdo,ok,,,2026-09-05,False
87926550,EB/DM,1.95669202,1,EB,E,,,,acuerdo,ok,,mala extraccion pero se ve el per,2026-09-05,False
89593348,EA,12.072,1,EA,E,,,,acuerdo,ok,,,2026-09-05,False
89761288,EB/SD,6.5197162,1,EB,E,,,,acuerdo,ok,,se ve el per pero rara,2026-09-05,False
91701376,BCEP,0.84917,1,BCEP,,,,,acuerdo,ok,,es ELL con este periodo,2026-09-05,False
95513457,ACYG,2.69,1,ACYG,,,,,acuerdo,,,,,
95624763,BCEP,0.1824448,1,BCEP,,,,,acuerdo,ok,,,2026-09-05,False
