index,source_id,B2_cut_probability,B2_cut_split,sp_Li2021,Cat,sp_ALS,Ra_ALS,DEC_ALS,Sep_Li2021,Sep_ALS,sp_GOSS,LC_goss,sep_GOSS,sp_Chini2012,sep_chini2012,sp_IACOB,sep_IACOB,sp_simbad,other_types_simbad,sep_simbad,sp_Monsalves+2025,ra,dec,ra_error,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmdec,pmra_error,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_g_n_obs,phot_g_mean_flux_over_error,phot_rp_n_obs,phot_rp_mean_flux_over_error,phot_bp_n_obs,phot_bp_mean_flux_over_error,phot_rp_mean_mag,ph_qual,tmass_oid,j_m,h_m,ks_m,j_ks_0,J-H,astrometric_sigma5d_max,astrometric_excess_noise,visibility_periods_used,ruwe,astrometric_gof_al,ipd_gof_harmonic_amplitude,ipd_frac_odd_win,ipd_frac_multi_peak,matched_transits_removed,astrometric_params_solved,astrometric_excess_noise_sig,phot_variable_flag,skiff_type,Bibcode,ra_skiff,dec_skiff,GroupID_skiff,GroupSize_skiff,Sep_skiff,mk,std_sp,label,Bibcode_list,source_id_list,index_list,skiff_type_list,lum_codification_mean,TIC,RAdeg,DEdeg,2MASS,angDist,l,b,num_counterparts,TIC_multiple_counterpart,sector_list,file,sector,delta_mag,informacion_sp,period,power,amplitud_TESS,Period_2,main_class_vsx,type_vsx
1088963,457619664363369600,0.9141666666666668,,,M,B2,36.98696666666667,56.639555555555546,,0.0032013686138201,,,,,,,,B2,*|NIR|UV,0.016732,,36.98696827283056,56.63955545214857,0.010977827,0.012761743,0.3972177914435875,0.019400137,20.475,-0.489602528035462,-0.9240274206828168,0.015073965,0.015787495,9.446477,9.542778,576,904.3735,63,382.70636,64,293.72534,9.230987,AAA,444158950,9.043,9.006,8.999,-0.0678692500000011,0.036999999999999,0.023027517,0.14393686,21,1.1620405,5.2871823,0.025769468,0,1,3,31,38.812366,NOT_AVAILABLE,OB-,1959LS....C01....0H,02 27 56.87,+56 38 22.5,25514.0,4.0,0.1022827792554484,,,,"1959LS....C01....0H, 1956PMcCO..13a....B, 1950ApJ...111..495P, 1928AnHar.100...49C",457619664363369600,"1088963, 1088964, 1088965, 1088966","OB-, A, B2, B",,423033698,36.98697341336,56.63955959806,02275687+5638224,0.018064,135.95078153702497,-3.772920532322797,1,[423033698],58,Gaia_TIC423033698_S58.dat,58,,1.0,0.2453762281184026,0.9503648998529018,0.0960214375320833,0.650305,ELL,ELL
1088963,457619664363369600,0.9141666666666668,,,M,B2,36.98696666666667,56.639555555555546,,0.0032013686138201,,,,,,,,B2,*|NIR|UV,0.016732,,36.98696827283056,56.63955545214857,0.010977827,0.012761743,0.3972177914435875,0.019400137,20.475,-0.489602528035462,-0.9240274206828168,0.015073965,0.015787495,9.446477,9.542778,576,904.3735,63,382.70636,64,293.72534,9.230987,AAA,444158950,9.043,9.006,8.999,-0.0678692500000011,0.036999999999999,0.023027517,0.14393686,21,1.1620405,5.2871823,0.025769468,0,1,3,31,38.812366,NOT_AVAILABLE,OB-,1959LS....C01....0H,02 27 56.87,+56 38 22.5,25514.0,4.0,0.1022827792554484,,,,"1959LS....C01....0H, 1956PMcCO..13a....B, 1950ApJ...111..495P, 1928AnHar.100...49C",457619664363369600,"1088963, 1088964, 1088965, 1088966","OB-, A, B2, B",,423033698,36.98697341336,56.63955959806,02275687+5638224,0.018064,135.95078153702497,-3.772920532322797,1,[423033698],58,Gaia_TIC423033698_S58.dat,58,,1.0,0.736128684355208,0.9278473073505448,0.0960214375320833,0.650305,ELL,ELL
1088963,457619664363369600,0.9141666666666668,,,M,B2,36.98696666666667,56.639555555555546,,0.0032013686138201,,,,,,,,B2,*|NIR|UV,0.016732,,36.98696827283056,56.63955545214857,0.010977827,0.012761743,0.3972177914435875,0.019400137,20.475,-0.489602528035462,-0.9240274206828168,0.015073965,0.015787495,9.446477,9.542778,576,904.3735,63,382.70636,64,293.72534,9.230987,AAA,444158950,9.043,9.006,8.999,-0.0678692500000011,0.036999999999999,0.023027517,0.14393686,21,1.1620405,5.2871823,0.025769468,0,1,3,31,38.812366,NOT_AVAILABLE,OB-,1959LS....C01....0H,02 27 56.87,+56 38 22.5,25514.0,4.0,0.1022827792554484,,,,"1959LS....C01....0H, 1956PMcCO..13a....B, 1950ApJ...111..495P, 1928AnHar.100...49C",457619664363369600,"1088963, 1088964, 1088965, 1088966","OB-, A, B2, B",,423033698,36.98697341336,56.63955959806,02275687+5638224,0.018064,135.95078153702497,-3.772920532322797,1,[423033698],58,Gaia_TIC423033698_S58.dat,58,,1.0,0.4907524562368053,0.9277386946146864,0.0960214375320833,0.650305,ELL,ELL
1088963,457619664363369600,0.9141666666666668,,,M,B2,36.98696666666667,56.639555555555546,,0.0032013686138201,,,,,,,,B2,*|NIR|UV,0.016732,,36.98696827283056,56.63955545214857,0.010977827,0.012761743,0.3972177914435875,0.019400137,20.475,-0.489602528035462,-0.9240274206828168,0.015073965,0.015787495,9.446477,9.542778,576,904.3735,63,382.70636,64,293.72534,9.230987,AAA,444158950,9.043,9.006,8.999,-0.0678692500000011,0.036999999999999,0.023027517,0.14393686,21,1.1620405,5.2871823,0.025769468,0,1,3,31,38.812366,NOT_AVAILABLE,OB-,1959LS....C01....0H,02 27 56.87,+56 38 22.5,25514.0,4.0,0.1022827792554484,,,,"1959LS....C01....0H, 1956PMcCO..13a....B, 1950ApJ...111..495P, 1928AnHar.100...49C",457619664363369600,"1088963, 1088964, 1088965, 1088966","OB-, A, B2, B",,423033698,36.98697341336,56.63955959806,02275687+5638224,0.018064,135.95078153702497,-3.772920532322797,1,[423033698],58,Gaia_TIC423033698_S58.dat,58,,1.0,0.9815049124736106,0.9254943941883194,0.0960214375320833,0.650305,ELL,ELL
1088963,457619664363369600,0.9141666666666668,,,M,B2,36.98696666666667,56.639555555555546,,0.0032013686138201,,,,,,,,B2,*|NIR|UV,0.016732,,36.98696827283056,56.63955545214857,0.010977827,0.012761743,0.3972177914435875,0.019400137,20.475,-0.489602528035462,-0.9240274206828168,0.015073965,0.015787495,9.446477,9.542778,576,904.3735,63,382.70636,64,293.72534,9.230987,AAA,444158950,9.043,9.006,8.999,-0.0678692500000011,0.036999999999999,0.023027517,0.14393686,21,1.1620405,5.2871823,0.025769468,0,1,3,31,38.812366,NOT_AVAILABLE,OB-,1959LS....C01....0H,02 27 56.87,+56 38 22.5,25514.0,4.0,0.1022827792554484,,,,"1959LS....C01....0H, 1956PMcCO..13a....B, 1950ApJ...111..495P, 1928AnHar.100...49C",457619664363369600,"1088963, 1088964, 1088965, 1088966","OB-, A, B2, B",,423033698,36.98697341336,56.63955959806,02275687+5638224,0.018064,135.95078153702497,-3.772920532322797,1,[423033698],58,Gaia_TIC423033698_S58.dat,58,,1.0,1.2268811405920133,0.909207723863742,0.0960214375320833,0.650305,ELL,ELL
1088963,457619664363369600,0.9141666666666668,,,M,B2,36.98696666666667,56.639555555555546,,0.0032013686138201,,,,,,,,B2,*|NIR|UV,0.016732,,36.98696827283056,56.63955545214857,0.010977827,0.012761743,0.3972177914435875,0.019400137,20.475,-0.489602528035462,-0.9240274206828168,0.015073965,0.015787495,9.446477,9.542778,576,904.3735,63,382.70636,64,293.72534,9.230987,AAA,444158950,9.043,9.006,8.999,-0.0678692500000011,0.036999999999999,0.023027517,0.14393686,21,1.1620405,5.2871823,0.025769468,0,1,3,31,38.812366,NOT_AVAILABLE,OB-,1959LS....C01....0H,02 27 56.87,+56 38 22.5,25514.0,4.0,0.1022827792554484,,,,"1959LS....C01....0H, 1956PMcCO..13a....B, 1950ApJ...111..495P, 1928AnHar.100...49C",457619664363369600,"1088963, 1088964, 1088965, 1088966","OB-, A, B2, B",,423033698,36.98697341336,56.63955959806,02275687+5638224,0.018064,135.95078153702497,-3.772920532322797,1,[423033698],58,Gaia_TIC423033698_S58.dat,58,,1.0,1.472257368710416,0.8978738165798826,0.0960214375320833,0.650305,ELL,ELL
1088963,457619664363369600,0.9141666666666668,,,M,B2,36.98696666666667,56.639555555555546,,0.0032013686138201,,,,,,,,B2,*|NIR|UV,0.016732,,36.98696827283056,56.63955545214857,0.010977827,0.012761743,0.3972177914435875,0.019400137,20.475,-0.489602528035462,-0.9240274206828168,0.015073965,0.015787495,9.446477,9.542778,576,904.3735,63,382.70636,64,293.72534,9.230987,AAA,444158950,9.043,9.006,8.999,-0.0678692500000011,0.036999999999999,0.023027517,0.14393686,21,1.1620405,5.2871823,0.025769468,0,1,3,31,38.812366,NOT_AVAILABLE,OB-,1959LS....C01....0H,02 27 56.87,+56 38 22.5,25514.0,4.0,0.1022827792554484,,,,"1959LS....C01....0H, 1956PMcCO..13a....B, 1950ApJ...111..495P, 1928AnHar.100...49C",457619664363369600,"1088963, 1088964, 1088965, 1088966","OB-, A, B2, B",,423033698,36.98697341336,56.63955959806,02275687+5638224,0.018064,135.95078153702497,-3.772920532322797,1,[423033698],58,Gaia_TIC423033698_S58.dat,58,,1.0,1.7176335968288186,0.895710415287607,0.0960214375320833,0.650305,ELL,ELL
1088963,457619664363369600,0.9141666666666668,,,M,B2,36.98696666666667,56.639555555555546,,0.0032013686138201,,,,,,,,B2,*|NIR|UV,0.016732,,36.98696827283056,56.63955545214857,0.010977827,0.012761743,0.3972177914435875,0.019400137,20.475,-0.489602528035462,-0.9240274206828168,0.015073965,0.015787495,9.446477,9.542778,576,904.3735,63,382.70636,64,293.72534,9.230987,AAA,444158950,9.043,9.006,8.999,-0.0678692500000011,0.036999999999999,0.023027517,0.14393686,21,1.1620405,5.2871823,0.025769468,0,1,3,31,38.812366,NOT_AVAILABLE,OB-,1959LS....C01....0H,02 27 56.87,+56 38 22.5,25514.0,4.0,0.1022827792554484,,,,"1959LS....C01....0H, 1956PMcCO..13a....B, 1950ApJ...111..495P, 1928AnHar.100...49C",457619664363369600,"1088963, 1088964, 1088965, 1088966","OB-, A, B2, B",,423033698,36.98697341336,56.63955959806,02275687+5638224,0.018064,135.95078153702497,-3.772920532322797,1,[423033698],58,Gaia_TIC423033698_S58.dat,58,,1.0,1.9606949548706325,0.885122590319879,0.0960214375320833,0.650305,ELL,ELL
1088963,457619664363369600,0.9141666666666668,,,M,B2,36.98696666666667,56.639555555555546,,0.0032013686138201,,,,,,,,B2,*|NIR|UV,0.016732,,36.98696827283056,56.63955545214857,0.010977827,0.012761743,0.3972177914435875,0.019400137,20.475,-0.489602528035462,-0.9240274206828168,0.015073965,0.015787495,9.446477,9.542778,576,904.3735,63,382.70636,64,293.72534,9.230987,AAA,444158950,9.043,9.006,8.999,-0.0678692500000011,0.036999999999999,0.023027517,0.14393686,21,1.1620405,5.2871823,0.025769468,0,1,3,31,38.812366,NOT_AVAILABLE,OB-,1959LS....C01....0H,02 27 56.87,+56 38 22.5,25514.0,4.0,0.1022827792554484,,,,"1959LS....C01....0H, 1956PMcCO..13a....B, 1950ApJ...111..495P, 1928AnHar.100...49C",457619664363369600,"1088963, 1088964, 1088965, 1088966","OB-, A, B2, B",,423033698,36.98697341336,56.63955959806,02275687+5638224,0.018064,135.95078153702497,-3.772920532322797,1,[423033698],58,Gaia_TIC423033698_S58.dat,58,,1.0,2.4537622811840265,0.877298081952026,0.0960214375320833,0.650305,ELL,ELL
1088963,457619664363369600,0.9141666666666668,,,M,B2,36.98696666666667,56.639555555555546,,0.0032013686138201,,,,,,,,B2,*|NIR|UV,0.016732,,36.98696827283056,56.63955545214857,0.010977827,0.012761743,0.3972177914435875,0.019400137,20.475,-0.489602528035462,-0.9240274206828168,0.015073965,0.015787495,9.446477,9.542778,576,904.3735,63,382.70636,64,293.72534,9.230987,AAA,444158950,9.043,9.006,8.999,-0.0678692500000011,0.036999999999999,0.023027517,0.14393686,21,1.1620405,5.2871823,0.025769468,0,1,3,31,38.812366,NOT_AVAILABLE,OB-,1959LS....C01....0H,02 27 56.87,+56 38 22.5,25514.0,4.0,0.1022827792554484,,,,"1959LS....C01....0H, 1956PMcCO..13a....B, 1950ApJ...111..495P, 1928AnHar.100...49C",457619664363369600,"1088963, 1088964, 1088965, 1088966","OB-, A, B2, B",,423033698,36.98697341336,56.63955959806,02275687+5638224,0.018064,135.95078153702497,-3.772920532322797,1,[423033698],58,Gaia_TIC423033698_S58.dat,58,,1.0,2.208386053065624,0.8767375583353729,0.0960214375320833,0.650305,ELL,ELL
