angDist,ID,database,ra,dec,TIC,RAdeg,DEdeg,HIP,TYC,UCAC4,2MASS,objID,WISEA,GAIA,APASS,KIC,S/G,Ref,r_Pos,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,Plx,e_Plx,Vmag,e_Vmag,Gmag,e_Gmag,Tmag,e_Tmag,f_Tmag,Flag,Teff,s_Teff,logg,s_logg,[M/H],e_[M/H],Rad,s_Rad,Mass,s_Mass,Dist,s_Dist,E(B-V),s_E(B-V),e_Dist,E_Dist,RAOdeg,DEOdeg,l,b,sector_list,filenames
0.159592,OGLE-GD-LPV-020554,4,280.9720416666666,-2.791722222222222,186427056,280.97206650047,-2.79175896459,0,,,18435329-0247302,0,J184353.30-024730.2,4258676647729660544,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,14.0828,0.075072,10.411,1.0,jhk,,,,,,,,,,,,,,,,,,280.97206650047,-2.79175896459,29.58686181995689,0.4050255452840456,[80],['hlsp_tess-spoc_tess_phot_0000000186427056-s0080_tess_v1_lc.fits']
0.098524,OGLE-GD-LPV-016726,4,256.1864583333333,-43.79413888888889,124671431,256.18642745509,-43.79415476995,0,,,17044474-4347389,0,J170444.74-434738.8,5965322825248279936,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,14.0871,0.045954,6.664,1.0,jhk,,,,,,,,,,,,,,,,,,256.18642745509,-43.79415476995,-16.883321263644774,-1.5581069215819527,[66],['hlsp_tess-spoc_tess_phot_0000000124671431-s0066_tess_v1_lc.fits']
0.067842,OGLE-GD-LPV-009845,4,237.5932083333333,-50.79975,277197160,237.59318334448,-50.79976028039,0,,,15502236-5047590,0,J155022.37-504759.1,5982177067189572736,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,14.1942,0.016508,9.608,1.0,jhk,,,,,,,,,,,,,,,,,,237.59318334448,-50.79976028039,-30.6249648831452,2.649838459868341,[65],['hlsp_tess-spoc_tess_phot_0000000277197160-s0065_tess_v1_lc.fits']
0.063462,OGLE-BLG-LPV-233092,4,255.679125,-38.16533333333333,346509039,255.67913935621,-38.16534687405,0,,,17024300-3809551,0,J170243.00-380955.4,5976349380713740544,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,15.0556,0.028452,9.593,1.0,jhk,,,,,,,,,,,,,,,,,,255.67913935621,-38.16534687405,-12.648143957789628,2.170146827441361,[66],['hlsp_tess-spoc_tess_phot_0000000346509039-s0066_tess_v1_lc.fits']
0.07999,OGLE-GD-LPV-017154,4,257.7532916666666,-43.02744444444444,381892596,257.75329340856,-43.02746662733,0,,,17110079-4301388,0,J171100.84-430138.7,5965275683685235328,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,14.7136,0.02181,9.898,1.0,jhk,,,,,,,,,,,,,,,,,,257.75329340856,-43.02746662733,-15.5872298848837,-2.01091772642143,[66],['hlsp_tess-spoc_tess_phot_0000000381892596-s0066_tess_v1_lc.fits']
0.034672,OGLE-GD-LPV-024114,4,286.21312499999993,1.5284444444444445,177842223,286.21313051288,1.52843654596,0,,,19045115+0131423,0,J190451.17+013142.6,4267574239424462208,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,14.1789,0.06369,9.74,1.0,jhk,,,,,,,,,,,,,,,,,,286.21313051288,1.52843654596,35.823379871570495,-2.285683525333257,[80],['hlsp_tess-spoc_tess_phot_0000000177842223-s0080_tess_v1_lc.fits']
0.194987,OGLE-BLG-LPV-263717,4,276.6015833333333,-11.39925,385525361,276.60155852952,-11.39929839874,0,,,18262436-1123572,0,J182624.47-112358.2,4153395866753305600,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,13.369,0.024918,9.181,1.0,jhk,,,,,,,,,,,,,,,,,,276.60155852952,-11.39929839874,19.950947545042062,0.2850899007705361,[80],['hlsp_tess-spoc_tess_phot_0000000385525361-s0080_tess_v1_lc.fits']
0.077394,OGLE-GD-LPV-013769,4,249.22791666666663,-48.35316666666667,31031069,249.22788653158,-48.35315884748,0,,,16365469-4821115,0,J163654.67-482111.3,5940944968860091776,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,15.6473,0.029678,9.897,1.0,jhk,,,,,,,,,,,,,,,,,,249.22788653158,-48.35315884748,-23.470758643464592,-0.7547485170105049,[66],['hlsp_tess-spoc_tess_phot_0000000031031069-s0066_tess_v1_lc.fits']
0.10432,OGLE-GD-LPV-018623,4,278.216375,-8.899638888888889,216693041,278.21640140343,-8.89965150823,0,,,18325193-0853587,0,J183251.95-085358.8,4156346784155389568,0,0,STAR,tmgaia2,tmgaia2,-1.573,0.629,-3.907,0.595,gaia2,0.5454,0.382,,,16.3374,0.050864,10.03,1.0,jhk,gaia2,,,,,,,,,,,2354.06,1833.51,1.1157,0.1636,1109.24,2557.78,278.21639454974,-8.89966833007,22.902621221916583,0.0362969138034802,[80],['hlsp_tess-spoc_tess_phot_0000000216693041-s0080_tess_v1_lc.fits']
0.080362,OGLE-GD-LPV-018080,4,276.86024999999995,-4.379527777777778,132672189,276.8602276142,-4.37952745707,0,,,18272645-0422462,0,J182726.46-042246.1,4257475706139559296,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,16.6886,0.103754,10.153,1.0,jhk,,,,,,,,,,,,,,,,,,276.8602276142,-4.37952745707,26.289411766971824,3.320738054243124,[80],['hlsp_tess-spoc_tess_phot_0000000132672189-s0080_tess_v1_lc.fits']
