angDist,GaiaDR3,ra,dec,TIC,RAdeg,DEdeg,HIP,TYC,UCAC4,2MASS,objID,WISEA,GAIA,APASS,KIC,S/G,Ref,r_Pos,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,Plx,e_Plx,Vmag,e_Vmag,Gmag,e_Gmag,Tmag,e_Tmag,f_Tmag,Flag,Teff,s_Teff,logg,s_logg,[M/H],e_[M/H],Rad,s_Rad,Mass,s_Mass,Dist,s_Dist,E(B-V),s_E(B-V),e_Dist,E_Dist,RAOdeg,DEOdeg,l,b,num_counterparts,TIC_multiple_counterpart,sector_list,filenames,TPfPloter,sector_TPfPloter,delta
0.082288,1870993723881785856,311.62218726856,36.99460673786,66897795,311.62219994035,36.99462723303,0,2699-00585-1,635-100429,20462932+3659406,0,J204629.32+365940.5,1870993723881785856,50562566,0,STAR,tmgaia2,tmgaia2,-2.274,0.051,-4.594,0.058,gaia2,0.3746,0.0327,10.146,0.004,9.95871,0.00043,9.73,0.013,rered,gaia2,10029.0,123.0,,,,,14.321,,,,2466.95,202.95,0.418,0.0144,186.86,219.04,311.62218768041,36.99460745124,78.36375471222007,-3.879260885281956,1,[66897795],"[75, 82]","['hlsp_tess-spoc_tess_phot_0000000066897795-s0075_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000066897795-s0082_tess_v1_lc.fits']",Gaia_TIC66897795_S75.dat,75,-5.291907
0.082299,5864702358672264704,208.09013821585,-62.81694884352,299952811,208.09018243428,-62.81693814034,0,9008-01192-1,136-103453,13522163-6249009,0,J135221.59-624859.1,5864702358672264704,30975607,0,STAR,tmgaia2,tmgaia2,-4.534,0.047,-2.409,0.059,gaia2,0.5646,0.0423,9.933,0.004,9.86688,0.000763,8.425,0.6,rered,gaia2,,,,,,,,,,,1691.37,124.26,1.5325,0.1026,115.36,133.16,208.0901396985,-62.81694851428,-50.174604893926464,-0.763442402610892,1,[299952811],[65],['hlsp_tess-spoc_tess_phot_0000000299952811-s0065_tess_v1_lc.fits'],Gaia_TIC299952811_S65.dat,65,-3.405073999999999
0.082358,5864930851028405504,202.6886288197604,-63.79850389449522,314406170,202.6886778084,-63.7984964438,0,8999-01170-1,132-094265,13304527-6347546,0,J133045.34-634754.2,5864930851028405504,30932386,0,STAR,tmgaia2,tmgaia2,-4.857,0.042,-1.684,0.048,gaia2,0.4586,0.0369,9.67,0.004,9.51222,0.001256,9.624,0.044,rered,gaia2,,,,,,,,,,,2058.89,160.835,0.6591,0.0427,148.61,173.06,202.68863044879,-63.79850369445,-52.74432970726801,-1.257306341611125,1,[314406170],[65],['hlsp_tess-spoc_tess_phot_0000000314406170-s0065_tess_v1_lc.fits'],Gaia_TIC314406170_S65.dat,65,-2.617585
0.082386,5930663744912220544,248.45279249360303,-53.20984067195763,23245517,248.45281743694,-53.20982333495,0,8712-00422-1,184-159780,16334867-5312351,0,J163348.67-531235.3,5930663744912220544,24912236,0,STAR,tmgaia2,tmgaia2,-3.348,0.069,-3.892,0.064,gaia2,0.1685,0.0612,7.692,0.002,7.59079,0.001081,7.349,0.028,rered,gaia2,10779.0,157.0,,,,,83.054,,,,4755.59,1462.28,0.489,0.0321,1105.06,1819.5,248.45279336755,-53.2098400939,-27.390136699072336,-3.668743502784592,1,[23245517],[66],['hlsp_tess-spoc_tess_phot_0000000023245517-s0066_tess_v1_lc.fits'],Gaia_TIC23245517_S66.dat,66,-4.986188
0.082407,2016491891419313280,350.71133157181,62.13436489382,269520323,350.71137336946,62.13437682369,115424,4283-00599-1,761-071008,23225074+6208038,0,J232250.71+620803.7,2016491891419313280,58791680,0,STAR,tmgaia2,tmgaia2,-4.385,0.044,-2.657,0.041,gaia2,0.318,0.0267,10.8,0.03,10.4908,0.000365,9.915,0.024,rered,gaia2,8080.0,122.0,,,,,25.278,,,,2874.69,225.605,0.7141,0.0301,208.49,242.72,350.7113329718,62.13436538538,112.78116060147374,1.0213442055316644,1,[269520323],"[57, 58, 77, 78, 84]","['hlsp_tess-spoc_tess_phot_0000000269520323-s0057_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000269520323-s0058_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000269520323-s0077_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000269520323-s0078_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000269520323-s0084_tess_v1_lc.fits']",Gaia_TIC269520323_S84.dat,84,-3.414823
0.082441,2173050561834167296,326.07452129406,52.20894789032,421247769,326.07454609334,52.20896502192,0,3603-02077-1,712-084447,21441788+5212322,0,J214417.88+521232.2,2173050561834167296,55855995,0,STAR,tmgaia2,tmgaia2,-3.419,0.055,-3.838,0.047,gaia2,0.2574,0.0291,11.382,0.032,11.0119,0.000635,10.339,0.046,rered,gaia2,6837.0,122.0,,,,,28.375,,,,3447.4,355.675,0.6127,0.0631,320.85,390.5,326.0745220687,52.20894849617,96.4043679898642,-0.7502740778861391,1,[421247769],"[56, 57, 76, 77, 83, 84]","['hlsp_tess-spoc_tess_phot_0000000421247769-s0056_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000421247769-s0057_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000421247769-s0076_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000421247769-s0077_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000421247769-s0083_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000421247769-s0084_tess_v1_lc.fits']",Gaia_TIC421247769_S56.dat,56,-4.631886999999999
0.0825,4253174107540208896,280.99768972216,-6.50878195016,163734289,280.99769576495,-6.50875983385,0,5125-02033-1,418-092206,18435945-0630314,0,J184359.45-063031.5,4253174107540208896,4401649,0,STAR,tmgaia2,tmgaia2,-1.356,0.09,-4.961,0.082,gaia2,0.1536,0.0512,11.199,0.016,10.8044,0.001377,10.136,0.159,rered,gaia2,7458.0,126.0,,,,,45.325,,,,5053.69,1326.1,0.7368,0.2112,1043.18,1609.02,280.99768989043,-6.50878119453,26.2917120197502,-1.3156359914344051,1,[163734289],[80],['hlsp_tess-spoc_tess_phot_0000000163734289-s0080_tess_v1_lc.fits'],Gaia_TIC163734289_S80.dat,80,-2.604014000000001
0.082586,1827560055337367296,297.1708432499214,21.98476752483415,391187591,297.17084303665,21.98479046456,97471,1627-00332-1,560-098779,19484099+2159052,0,J194840.99+215905.1,1827560055337367296,0,0,STAR,tmgaia2,tmgaia2,0.047,0.065,-5.144,0.064,gaia2,1.0988,0.0534,8.2,0.03,8.14173,0.000511,8.049,0.048,rered,gaia2,12610.0,160.0,,,,,,,,,889.449,42.6805,0.3276,0.0547,40.673,44.688,297.17084325488,21.98476831868,58.90430279556203,-1.908167774178891,1,[391187591],"[41, 54, 81]","['hlsp_tess-spoc_tess_phot_0000000391187591-s0041_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000391187591-s0054_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000391187591-s0081_tess_v1_lc.fits']",Gaia_TIC391187591_S41.dat,41,-4.36135
0.082587,5861210550316382848,187.1909044825864,-64.87722334148253,450764912,187.19095838945,-64.87722176606,0,8983-02046-1,126-068090,12284582-6452379,0,J122845.83-645238.1,5861210550316382848,30757483,0,STAR,tmgaia2,tmgaia2,-5.138,0.046,-0.361,0.044,gaia2,0.3808,0.0312,10.22,0.006,10.1829,0.00038,10.009,0.028,rered,gaia2,,,,,,,,,,,2449.38,192.62,0.5786,0.0309,177.88,207.36,187.19090628197,-64.87722332127,-59.47313514997472,-2.1114117804710246,1,[450764912],[64],['hlsp_tess-spoc_tess_phot_0000000450764912-s0064_tess_v1_lc.fits'],Gaia_TIC450764912_S64.dat,64,-4.470137000000001
0.082599,5865534276646968576,206.57495039356093,-62.45161024601622,323082858,206.57499220699,-62.45159789891,67206,9008-04233-1,138-110558,13461799-6227057,0,J134618.00-622705.8,5865534276646968576,30963486,0,STAR,tmgaia2,tmgaia2,-4.338,0.035,-2.782,0.046,gaia2,0.4996,0.0341,6.58,0.03,6.53767,0.00048,5.252,0.6,rered,gaia2,,,,,,,,,,,1896.54,126.02,1.2967,0.0833,117.85,134.19,206.57495182348,-62.45160987495,-50.77238874258051,-0.2523601675479655,1,[323082858],"[38, 65]","['hlsp_tess-spoc_tess_phot_0000000323082858-s0038_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000323082858-s0065_tess_v1_lc.fits']",Gaia_TIC323082858_S38.dat,38,-5.5225930000000005
