angDist,GaiaDR3,TIC,ra,dec,Tmag,Gmag,OID,RAJ2000,DEJ2000,Name,V,Type,l_max,max,u_max,n_max,f_min,l_min,min,u_min,n_min,Epoch,u_Epoch,l_Period,Period,u_Period,Sp,n_OID
0.003355,460954551847371136,251230392,43.60398878249,58.03324932682,10.679,11.1558,1544084,43.60399,58.03325,V1435 Cas,0,ELL,,11.47,,V,,,11.55,,V,2458054.82,,,1.8596,,B,
0.003741,468738819295502720,72362403,59.50719179712926,55.91543974450321,8.841,9.33252,2941382,59.50719,55.91544,Gaia DR3 468738819295502720,0,BE|GCAS|SDOR|WR,,9.3,,G,,,9.37,,G,,,,,,B,
0.003934,2067261561651899264,15072015,306.5871598825,39.6694389111,8.293,9.02631,11375,306.58716,39.66944,V0455 Cyg,0,EB/DM,,9.3,,V,,,9.77,,V,2437112.51,,,8.76573,,B2(p:e:),B
0.004176,273709611419174400,274375918,69.23145176196,53.87604051632,10.081,10.7583,3016994,69.23145,53.87604,Gaia DR3 273709611419174400,0,RS,,10.72,,G,,,10.8,,G,,,,,,B,
0.004812,468431364053011456,356024834,60.67375155018,55.16937899878,10.603,11.077,2950394,60.67375,55.16938,Gaia DR3 468431364053011456,0,E,,11.08,,G,,,11.33,,G,,,,13.272,,B,
0.005584,4100450636704695424,427260887,281.71143132472,-14.99287912339,9.751,10.0434,7174664,281.71143,-14.99288,Gaia DR3 4100450636704695424,0,BCEP,,10.02,,G,,,10.06,,G,,,,,,B,
0.006213,445040564142503040,317035155,53.50350989166,54.08236172476,11.037,11.792,2234733,53.50351,54.08236,ASASSN-V J033400.84+540456.5,0,EA,,12.8,,g,Y,,0.15,,g,2459237.744,,,4.1233,,,
0.006267,458665604854994432,264731958,34.70653802967,57.56875138352,9.956,10.246,2798990,34.70654,57.56875,Gaia DR3 458665604854994432,0,BCEP,,10.22,,G,,,10.28,,G,,,,0.212227,,B,
0.006677,3377051837600118528,429749401,94.50146185641,22.6583307106,8.355,8.61775,41524,94.50146,22.65833,NSV 2900,1,,,8.78,,V,,,9.12,,V,,,,,,B0IIIn,B
0.006845,3437721136875257472,400166377,90.95881790684167,30.16920941673321,8.939,10.8378,4419576,90.95882,30.16921,Gaia DR3 3437721136875257472,0,E,,10.81,,G,,,10.87,,G,,,,1.10949,,O,
0.007186,461382566807883136,251384128,44.67717377948024,58.791079613251775,10.083,10.6912,477436,44.67717,58.79108,NSVS 1939129,0,EA,,10.97,,V,,,11.25,,V,2451410.62,,,5.4551,,B2V:,B
0.00832,3328060034710782336,220082557,98.74812110426,11.28493795827,11.217,11.5363,2212817,98.74812,11.28494,KELT KS05C048158,0,EA,,11.64,,V,Y,,0.019,,V,2457343.689,,,2.257188,,,
0.00849,460289244232159360,251570247,45.60592366355,57.2812887194,10.609,11.2725,2860511,45.60592,57.28129,Gaia DR3 460289244232159360,0,BCEP,,11.25,,G,,,11.29,,G,,,,,,O,
0.009168,507700872817909632,12642732,33.60780750908,61.27628224769,10.682,11.3179,2792078,33.60781,61.27628,Gaia DR3 507700872817909632,0,E,,11.3,,G,,,11.37,,G,,,,3.5438,,B,
0.009404,442986916939558912,259108127,50.04742317364,52.06842173696,8.342,8.69813,2882495,50.04742,52.06842,Gaia DR3 442986916939558912,0,E,,8.67,,G,,,8.96,,G,,,,5.3281,,B,
0.009892,2015564620856737792,271653404,354.69513578332,62.04841955019,10.899,11.4668,2388398,354.69513,62.04842,Barlad V15,0,SPB:,,11.74,,V,Y,,0.06,,TESS,2459481.641,,,0.33378,,B,
0.010732,460618547964018304,450150187,42.87620828603,56.95788716921,9.925,10.4836,2846871,42.87621,56.95789,Gaia DR3 460618547964018304,0,GCAS,,10.58,,V,,,10.9,,V,,,,,,B5e,
0.010957,430491104738148992,406966772,5.722215471728497,62.24137780568222,8.085,8.08617,7076,5.72222,62.24138,V0745 Cas,0,ELL,,8.01,,V,,,8.14,,V,2448214.925,,,1.41061,,B0IV,B
0.011394,444367147631664128,72187166,59.16934697327,54.3678473718,11.056,11.8134,2938930,59.16935,54.36785,Gaia DR3 444367147631664128,0,VAR,,11.79,,G,,,11.86,,G,,,,,,O,
0.011796,5939658334096467840,236409173,251.62600628319,-47.01956207754,10.39,10.6851,103623,251.62601,-47.01956,V0900 Ara,0,BCEP,,10.86,,V,Y,,0.132,,V,2451931.286,,,0.2242077,,,B
0.011814,2016246356731137024,272629752,356.36922848112056,63.271333209731296,9.745,10.4328,8253299,356.36923,63.27133,Gaia DR3 2016246356731137024,0,BE|GCAS|SDOR|WR,,10.34,,G,,,10.49,,G,,,,,,O,
0.012164,463682577633083008,81821733,47.55359345149604,61.95136860914951,9.334,9.51171,2870122,47.5536,61.95137,Gaia DR3 463682577633083008,0,E,,9.52,,G,,,9.71,,G,,,,4.93638,,B,
0.012317,460981833479442688,251196433,43.368398489716725,58.32581667184356,9.616,9.94362,2849514,43.3684,58.32582,Gaia DR3 460981833479442688,0,BCEP,,9.92,,G,,,9.97,,G,,,,,,B,
0.01312,458457320427789824,348444452,35.28195486006,57.16678765154,9.185,9.40752,2802697,35.28196,57.16679,Gaia DR3 458457320427789824,0,DSCT|GDOR|SXPHE,,9.4,,G,,,9.42,,G,,,,3.82127,,B,
0.013524,5981851027635556864,297870134,239.90698589196,-50.43475016636,9.877,10.1831,447062,239.90698,-50.43475,GDS_J1559376-502605,0,VAR,,10.23,,r,Y,,0.19,,r,,,,,,OB-,B
0.013527,467311408386248704,390408482,43.06746282350514,62.782643528699246,9.015,9.24225,6361,43.06746,62.78264,TX Cas,0,EB/DM,,9.16,,V,,,9.8,,V,2429677.228,,,2.92687,,B0V,B
0.013626,271963002839779712,470472700,66.3627438471611,52.04378007676187,8.873,9.38498,2994689,66.36275,52.04378,Gaia DR3 271963002839779712,0,BE|GCAS|SDOR|WR,,9.37,,G,,,9.42,,G,,,,,,O,
0.013662,454771379489454464,265298333,41.68029838569,56.58253631055,10.322,10.6391,2840279,41.6803,56.58254,Gaia DR3 454771379489454464,0,BCEP,,10.61,,G,,,10.66,,G,,,,0.1147205,,B,
0.013881,509939650296461440,444752336,25.17800784463,61.21507922634,9.615,9.95185,844444,25.178,61.21508,TIC 444752336,0,DPV/ELL,,9.96,,V,,,10.21,,V,2458070.88,,,9.4394,,B2e,
0.014138,5939960081277948672,247066241,253.47745999795083,-46.0150539271827,8.537,8.54626,225577,253.47746,-46.01505,HD 152162,0,BCEP,,8.59,,V,Y,,0.066,,V,,,,0.1657833,,B2III,B
0.014454,461506747202125696,251457030,44.9799106966,59.45854600062,9.849,10.3107,2857506,44.97991,59.45855,Gaia DR3 461506747202125696,0,BE|GCAS|SDOR|WR,,10.25,,G,,,10.4,,G,,,,,,B,
0.014528,456946076053645696,374982274,32.212574696387605,56.08689725610535,9.497,9.54199,2783271,32.21258,56.0869,Gaia DR3 456946076053645696,0,BCEP,,9.52,,G,,,9.56,,G,,,,0.20414,,B,
0.01472,208420198645230208,368184354,78.85856965665,44.56719591849,10.494,10.6869,4216701,78.85857,44.5672,Gaia DR3 208420198645230208,0,BE|GCAS|SDOR|WR,,10.58,,G,,,10.73,,G,,,,,,B,
0.015311,458371558521435904,264730031,34.67821444488,57.07263700477,10.234,10.439,2798821,34.67822,57.07264,Gaia DR3 458371558521435904,0,VAR,,10.41,,G,,,10.52,,G,,,,0.1089071,,B,
0.01571,457785175221622144,245465292,38.92847082593,56.73918565973,10.393,10.7554,2824724,38.92847,56.73919,Gaia DR3 457785175221622144,0,DSCT|GDOR|SXPHE,,10.72,,G,,,10.77,,G,,,,5.9167,,B,
0.015921,532358829818405632,352512520,19.81295755679,69.34990054851,10.314,10.5643,2692677,19.81297,69.3499,Gaia DR3 532358829818405632,0,DSCT|GDOR|SXPHE,,10.54,,G,,,10.6,,G,,,,0.88617,,B,
0.016497,413396722579537408,399014769,20.210883867560508,57.43858682111975,9.817,10.0821,2695650,20.21089,57.43859,Gaia DR3 413396722579537408,0,BE|GCAS|SDOR|WR,,10.03,,G,,,10.33,,G,,,,,,,
0.016543,2010285491880986112,314951512,346.79198165636,58.55419147277,8.597,9.36547,6353,346.79199,58.55419,SW Cas,0,DCEP,,9.32,,V,,,10.01,,V,2442989.59,,,5.44095,,F6-G2,B
0.016612,455390949988697984,250722653,33.46595809020978,53.91458447520403,8.983,8.91481,25877,33.46596,53.91458,V0353 Per,0,BCEP,,8.85,,B,,,8.91,,B,,,,0.3908,,B0.5IV,B
0.016666,511903824736087424,10800647,29.24237531670857,63.30662587626514,10.517,10.7427,729400,29.24238,63.30663,ASASSN-V J015658.17+631823.9,0,EA,,10.82,,V,,,11.23,,V,2457327.783,,,1.9699,,,
0.016794,458308469733215488,348507013,35.28881751308,56.81672553785,9.41,9.495,2802744,35.28882,56.81673,Gaia DR3 458308469733215488,0,BCEP,,9.48,,G,,,9.51,,G,,,,,,B,
0.016961,2206818556775783552,12716975,342.91546028703004,61.147459521184246,9.22,10.0802,8160809,342.91547,61.14746,Gaia DR3 2206818556775783552,0,BE|GCAS|SDOR|WR,,10.04,,G,,,10.11,,G,,,,,,O,
0.017007,2204369875668251264,411043004,328.45040039118123,62.61442166849453,6.812,6.94036,8508,328.45041,62.61442,EM Cep,0,EW/KE,,7.02,,V,,,7.17,,V,2440134.7326,,,0.806187,,B0.5V+B1Ve,B
0.017106,458310054588240384,348445323,35.46838111599417,56.90499528764688,8.344,8.4316,53924,35.46838,56.905,NSV 15489,1,,,8.5,,V,,,,,,,,,,,O5.5IVnn(f)p,B
0.017141,251774938561362688,265683571,59.46431287598944,52.690195569135234,8.89,9.64254,2941044,59.46431,52.6902,Gaia DR3 251774938561362688,0,BE|GCAS|SDOR|WR,,9.6,,G,,,9.7,,G,,,,,,B,
0.017273,514872025095936512,285684866,31.53565250475,63.36994657431,10.116,10.3576,39342,31.53566,63.36995,NSV 718,1,,,11.4,,pg,,,12.3,,pg,,,,,,Bpe,B
0.017304,458413065082770304,348671609,35.70401385902,57.15387653461,9.724,9.93833,2805304,35.70402,57.15388,Gaia DR3 458413065082770304,0,BCEP,,9.9,,G,,,9.96,,G,,,,,,B,
0.017446,3028367425944252672,405029193,113.30400217623152,-15.45360436872895,7.736,8.05193,55943,113.304,-15.4536,NSV 17508,0,VAR,,8.2,,V,Y,,0.017,,V,,,,0.08929,,B2Ia,B
0.017688,278127139902082432,8896127,66.98612111534,56.44757983396,10.338,10.6473,629516,66.98613,56.44758,WISE J042756.6+562651,0,EA,,9.667,,W1,Y,,0.269,,W1,,,,3.8671148,,,B
0.017743,204878637332320640,391622082,71.58857289952171,44.22649553063626,9.955,10.3084,3038809,71.58857,44.2265,Gaia DR3 204878637332320640,0,DSCT|GDOR|SXPHE,,10.24,,G,,,10.37,,G,,,,0.0805781,,B,
0.017764,458461576727427712,348608214,35.57065117417958,57.27192874310755,8.446,8.69832,2804487,35.57066,57.27193,Gaia DR3 458461576727427712,0,DSCT|GDOR|SXPHE,,8.67,,G,,,8.73,,G,,,,3.82073,,O,
0.017914,4039468865611422080,55839455,272.0313759589216,-34.57566917014394,9.436,9.34452,109232,272.03137,-34.57567,V5633 Sgr,0,BCEP,,9.34,,V,,,9.44,,V,2452082.101,,,0.2106475,,B1II,B
0.017935,458412274808691712,445615536,35.9892810355,57.23724886613,9.878,10.1801,2807084,35.98929,57.23725,Gaia DR3 458412274808691712,0,BCEP,,10.17,,G,,,10.2,,G,,,,,,B,
0.01801,447111631732230656,251684704,46.55572829379,53.99733509882,9.551,10.0121,2865244,46.55573,53.99734,Gaia DR3 447111631732230656,0,DSCT|GDOR|SXPHE,,9.99,,G,,,10.04,,G,,,,2.41164,,B,
0.018085,3049740999969903616,125504310,105.854034928805,-9.44071954145752,9.901,10.1543,3292295,105.85404,-9.44072,Gaia DR3 3049740999969903616,0,BCEP,,10.13,,G,,,10.18,,G,,,,,,B,
0.018131,459365448308247552,13088285,36.02358033402,60.32250503371,10.415,11.1207,1544095,36.02358,60.3225,ZALD J02240566+6019210,0,ELL,,11.47,,V,,,11.56,,V,2458489.707,,,3.6498,,OB:,
0.018714,5970367178449045760,340269534,253.75702010644952,-39.348975197709606,9.203,9.27462,6101353,253.75702,-39.34897,Gaia DR3 5970367178449045760,0,ACV|roAm|roAp|SXARI,,9.27,,G,,,9.29,,G,,,,,,B,
0.018989,464157807176649856,245548382,39.52440611283,58.31794513644,10.328,10.9139,803159,39.52441,58.31795,ASASSN-V J023805.86+581904.6,0,GCAS,,11.08,,V,,,11.41,,V,,,,,,,
0.019099,5931118186802115840,35311214,249.84824216294,-52.5359451397,9.137,9.05426,5981369,249.84824,-52.53594,Gaia DR3 5931118186802115840,0,BE|GCAS|SDOR|WR,,8.88,,G,,,9.1,,G,,,,,,B,
0.019192,515632814118190720,353491274,33.67485218594,65.89000426977,10.525,11.0496,2792467,33.67486,65.89,Gaia DR3 515632814118190720,0,E,,11.03,,G,,,11.13,,G,,,,3.40745,,B,
0.019404,4657700412597025408,277108350,84.13493458215,-68.90046122348,10.183,10.2515,2219143,84.13492,-68.90046,LMC V3569,3,VAR,,10.29,,V,,,10.38,,V,,,,,,A9Ia,
0.019427,5972774451752078592,196868223,260.39220484085,-38.19192356088,9.783,10.569,105627,260.39221,-38.19192,ASAS J172134-3811.5,0,ESD,,11.01,,V,Y,,0.26,,V,2451940.3,,,5.474192,,OB,B
0.019481,443789457348784640,428806572,57.36487134898266,52.655395349049016,6.419,6.66962,39957,57.36487,52.65539,NSV 1333,1,,,6.69,,V,,,6.72,,V,,,,,,B0.5III,B
0.019528,3431764429551042816,83950720,95.52697912587,24.97555536639,9.744,9.76686,4480688,95.52698,24.97555,Gaia DR3 3431764429551042816,0,ACV|roAm|roAp|SXARI,,9.75,,G,,,9.78,,G,,,,,,B,
0.019741,3030110529828540928,56023695,113.07445833533,-14.60811524167,10.225,10.5308,83806,113.07446,-14.60811,ASAS J073218-1436.5,0,EA,,10.7,,V,,,11.18,,V,2452980.88,,,8.178,,OB,B
0.019871,507218702610463744,348142872,34.34864931445,59.02392952844,9.667,10.1377,2796695,34.34866,59.02393,Gaia DR3 507218702610463744,0,BE|GCAS|SDOR|WR,,10.02,,G,,,10.17,,G,,,,,,B,
0.019902,511443404241417856,444762019,25.31828848216,61.35515972334,10.722,11.0285,285319,25.3183,61.35516,V1417 Cas,0,EA,,11.2,,V,,,11.37,,V,2458060.824,,,6.68275,,B5,B
0.020245,3377550981519271936,319571693,94.98683418887,23.73927588618,9.585,9.79642,619844,94.98683,23.73928,EPIC 202060523,0,EA,,10.0,,Kp,Y,,0.031,,Kp,,,,16.420942,,,B
0.020753,275795866011886720,8301691,65.53874776985,55.11728632773,10.387,11.175,804225,65.53874,55.11729,ASASSN-V J042209.30+550702.2,0,L,,11.71,,V,,,11.81,,V,,,,,,,
0.020971,3373862738483797376,46239533,93.85582392036385,19.029420949947795,9.276,9.33212,617134,93.85583,19.02942,EPIC 202062458,1,VAR,,9.5,,Kp,Y,,0.01,,Kp,,,,3.512464,,,B
0.021066,5863997502983928832,314393072,202.65040136162,-65.13001458727,10.067,10.1548,5137677,202.65041,-65.13001,Gaia DR3 5863997502983928832,0,BCEP,,10.14,,G,,,10.18,,G,,,,0.231447,,B,
0.021087,458044728688621568,444113639,37.35980084486,57.38395416027,10.414,10.7562,2815359,37.3598,57.38396,Gaia DR3 458044728688621568,0,E,,10.72,,G,,,10.82,,G,,,,0.77618,,B,
0.021247,430267903872782976,283839379,8.443460777381194,61.81655601763863,9.987,10.3037,2227871,8.44347,61.81656,CzeV4199,0,EA,,10.4,,V,,,10.5,,V,2458810.2228,,,3.862168,,,
0.021281,459038446670871808,259939665,36.513360589738525,58.89184409655807,10.63,11.0306,803158,36.51336,58.89185,ASASSN-V J022603.21+585330.7,0,GCAS,,11.03,,V,,,11.33,,V,,,,,,,
0.021388,462485965385240832,346022774,50.22321160216295,60.03035411312949,7.923,8.20583,39725,50.22321,60.03036,NSV 1101,1,,,8.14,,V,,,8.35,,V,,,,,,B1.5IV,B
0.021897,507042677674274432,374606947,31.1316293016,59.00628742168,10.672,10.9859,2776001,31.13164,59.00629,Gaia DR3 507042677674274432,0,DSCT|GDOR|SXPHE,,10.97,,G,,,11.0,,G,,,,2.99162,,B,
0.021898,4146599132529067520,114233430,274.65176105894994,-13.800675995268898,7.571,8.00922,62812,274.65176,-13.80067,NSV 24377,1,VAR:,,8.19,,V,,,,,,,,,,,O4IV(f),B
0.022046,511442339093257984,444832022,25.44376010298884,61.32501613346437,10.198,10.5473,2735791,25.44377,61.32502,Gaia DR3 511442339093257984,0,BE|GCAS|SDOR|WR,,10.36,,G,,,10.59,,G,,,,,,B,
0.022309,461458299971448576,251304698,44.03808892639175,59.36074579195428,9.556,10.0536,838292,44.03808,59.36075,ZALD 50,0,DPV/ELL,,10.07,,V,,,10.36,,V,2457984.06,,,10.5856,,B3II,
0.02239,5969684652280984960,339684077,253.6008349590506,-40.65250495243835,8.97,8.86292,59257,253.60083,-40.6525,NSV 20822,0,GCAS,,8.4,,V,,,8.95,,V,,,,,,B0IIIpn(e),B
0.02249,1825678073689450240,378061933,295.27951427162,19.9269952144,9.41,9.9336,116482,295.27951,19.927,ASAS J194107+1955.6,0,ACV|DCEP-FO,,10.16,,V,Y,,0.14,,V,2452731.5,,,3.620279,,OB,B
0.022552,509354366511173376,470795363,22.92631771745571,59.37805031864514,9.22,9.41449,2716079,22.92633,59.37805,Gaia DR3 509354366511173376,0,DSCT|GDOR|SXPHE,,9.4,,G,,,9.48,,G,,,,4.10949,,B,
0.022768,3423847224275160960,385596195,91.37424412254484,23.004776724051183,8.475,8.70032,55204,91.37425,23.00478,NSV 16769,0,GCAS,,8.55,,V,,,8.84,,V,,,,,,B1.5:IV:n,B
0.022793,458367538432087040,264729815,34.79449945580568,57.02495367549104,9.568,9.77701,2799544,34.7945,57.02496,Gaia DR3 458367538432087040,0,BCEP,,9.75,,G,,,9.8,,G,,,,0.59134,,B,
0.023009,5351545743492424320,458138785,159.15912050929666,-58.00335361434095,9.519,9.49595,432456,159.15912,-58.00336,GDS_J1036381-580012,0,GCAS,,9.17,,V,,,9.7,,V,,,,,,B1V,B
0.023167,524274395698613760,255974332,14.955956579915563,64.66039709724478,10.3,10.803,2654557,14.95597,64.6604,Gaia DR3 524274395698613760,0,BCEP,,10.76,,G,,,10.85,,G,,,,,,B,
0.023214,512141899063944192,372724218,25.779619046590955,64.06942643474392,9.668,9.89251,256228,25.77962,64.06942,Cl* NGC 637 1,0,BCEP,,10.1,,V,Y,,0.019,,V,,,,0.18553,,B0,B
0.023491,457634331667957248,445661970,36.49580052807607,56.65790606608247,8.6,8.80418,2810171,36.49581,56.65791,Gaia DR3 457634331667957248,0,BCEP,,8.77,,G,,,8.85,,G,,,,,,B,
0.023668,187915028342837632,426666086,80.27102576641738,39.31915429930824,9.56,9.80775,4242674,80.27103,39.31916,Gaia DR3 187915028342837632,0,BE|GCAS|SDOR|WR,,9.74,,G,,,9.85,,G,,,,,,B,
0.023923,465538828142411392,14040117,38.06979124873,61.55416338138,9.754,10.1276,39471,38.06979,61.55417,NSV 847,1,,,10.24,,V,,,,,,,,,,,O9.5V((f)),B
0.024051,2028380704530014976,10777186,297.76973390714363,27.716886057604523,7.619,7.69886,38571,297.76974,27.71689,V0396 Vul,0,BE,,7.77,,Hp,,,7.82,,Hp,2448500.09,,,0.409789,,B2V:nn,B
0.024054,4156423268932861056,4795449,278.90505341608,-8.66591151004,9.22,9.85486,7071507,278.90506,-8.66591,Gaia DR3 4156423268932861056,0,RS,,9.84,,G,,,9.89,,G,,,,,,B,
0.024102,2037788984977607040,407082659,287.38794535517,29.3580252003,8.218,8.14362,7339002,287.38794,29.35803,Gaia DR3 2037788984977607040,0,SPB,,8.13,,G,,,8.18,,G,,,,,,B,
0.024248,459258864400361088,445625389,36.127496371,59.49476352112,10.307,10.7449,2807936,36.1275,59.49477,Gaia DR3 459258864400361088,0,E,,10.71,,G,,,10.79,,G,,,,1.7881,,B,
0.024679,465115962839097600,256608717,38.544008024098105,60.02171665523772,9.774,10.1526,2822470,38.54402,60.02172,Gaia DR3 465115962839097600,0,E,,10.1,,G,,,10.24,,G,,,,2.51134,,O,
0.024714,458369496937210752,264613619,34.59603446847383,57.01019616917693,8.231,8.3798,39398,34.59604,57.01019,V0757 Per,0,BCEP,,7.74,,B*,,,7.79,,B*,,,,0.164309,,B1II,B
0.024807,458481406604070272,348443241,35.38645258696,57.56861437164,9.906,10.0442,2803320,35.38646,57.56862,Gaia DR3 458481406604070272,0,BCEP,,10.02,,G,,,10.06,,G,,,,,,B,
0.024892,4657722883837695872,389561652,86.31925755972,-68.99776713591,10.212,10.2222,272930,86.31924,-68.99777,LMC V4307,0,SDOR:,,10.24,,V,,,10.38,,V,,,,,,A1Ia0e,B
0.024911,513431183821175936,458875828,35.79808000231702,60.830603080203055,9.166,9.65548,6467,35.79808,60.83061,DN Cas,0,EA/DM,,9.81,,V,,,10.24,,V,2455903.65,,,2.310952,,O8V+O8V,B
0.024984,3344248969038412160,337170641,92.70116489052072,13.183534838809395,10.111,10.3869,2225968,92.70117,13.18353,MarSEC_V45,0,EA,,10.49,,V,,,10.53,,V,2459475.57,,,1.514807,,O9V,
0.025499,511022153847232384,54887506,21.22547941908587,62.2063049177288,10.897,11.3266,2703055,21.22549,62.20631,Gaia DR3 511022153847232384,0,DSCT|GDOR|SXPHE,,11.21,,G,,,11.37,,G,,,,0.0804099,,B,
0.025802,5868546560557974528,443397649,199.1581846623889,-62.21328049481692,10.223,10.3545,7588,199.1582,-62.21328,NP Cen,0,EA/SD,,10.34,,V,,,11.21,,V,2453848.644,,,2.853001,,A5,B
0.025859,4660175585039447040,279952371,82.08474484158,-67.405085632,10.24,10.4543,77601,82.08473,-67.40509,LMC V2779,0,SRD:,,10.47,,V,,,10.71,,V,2452151.7,,,159.0,,F8Ia,B
0.025973,458067268676665984,444136462,37.78503531695,57.5270632375,9.062,9.42114,2817930,37.78504,57.52707,Gaia DR3 458067268676665984,0,DSCT|GDOR|SXPHE,,9.37,,G,,,9.46,,G,,,,1.70663,,B,
0.026003,5942729815485146112,231985748,250.00742930749,-46.65968662873,9.767,10.0988,3067,250.00742,-46.65969,LP Ara,0,DPV/EA,,10.0,,V,,,10.98,,V,2452674.116,,,8.53295,,B8,B
0.026125,458414027155398272,348671462,35.70043598262,57.20023307702,9.924,10.3156,2805277,35.70044,57.20024,Gaia DR3 458414027155398272,0,BE|GCAS|SDOR|WR,,10.19,,G,,,10.38,,G,,,,1.55089,,B,
0.026147,5816175412967675264,447202808,250.4179218647845,-64.92753721994634,9.715,9.57584,5998107,250.41792,-64.92753,Gaia DR3 5816175412967675264,0,BCEP,,9.55,,G,,,9.59,,G,,,,,,B,
0.026209,524179597183741184,51882713,13.980694739301237,63.98683713567369,10.446,10.8626,2645680,13.98071,63.98684,Gaia DR3 524179597183741184,0,DSCT|GDOR|SXPHE,,10.85,,G,,,10.88,,G,,,,2.04848,,B,
0.026211,507032094873692160,445544695,30.175186835812653,58.97973735651469,9.511,9.84055,2769603,30.1752,58.97974,Gaia DR3 507032094873692160,0,DSCT|GDOR|SXPHE,,9.83,,G,,,9.88,,G,,,,2.12285,,B,
0.026409,458453334698292096,348444614,35.43082725564,57.12577281698,9.087,9.3201,26030,35.43083,57.12578,V0506 Per,0,BE,,9.45,,V,Y,,0.24,,V,,,,,,B0Ve,B
0.026521,458376025287245312,348231507,35.01236748036,57.1885171278,10.573,10.8544,227491,35.01238,57.18852,NSVS 1908107,0,EA,,10.946,,V,Y,,0.3,,V,2458437.3873,,,1.73288182,,B1.0V,
0.02664,458609430988041216,347690352,33.49548228396,57.49843387037,9.898,10.0235,2791359,33.49549,57.49844,Gaia DR3 458609430988041216,0,BCEP,,10.0,,G,,,10.05,,G,,,,,,B,
0.026669,423217079401079680,347306762,1.43565933597,59.25462566552,10.254,10.4448,629496,1.43565,59.25462,WISE J000544.5+591516,0,EA,,9.637,,W1,Y,,0.375,,W1,,,,4.063704,,,B
0.02705,5966510229078336768,339565205,253.51495437319025,-41.7916332304158,5.239,6.50011,46645,253.51495,-41.79164,NSV 8021,1,,,6.55,,V,,,6.68,,V,,,,,,O6,B
0.02715,509716552518467584,372627092,25.906434691384995,60.497480202429074,10.251,10.5454,2739250,25.90645,60.49748,Gaia DR3 509716552518467584,0,BCEP,,10.53,,G,,,10.58,,G,,,,0.225097,,B,
0.027295,464071804753156736,265474239,42.0666593504234,59.023672425554686,10.151,10.4133,2842451,42.06666,59.02368,Gaia DR3 464071804753156736,0,BE|GCAS|SDOR|WR,,10.37,,G,,,10.45,,G,,,,,,B,
0.027606,5891108161207885696,262859209,215.94035918029,-58.49028517926,10.676,11.273,45271,215.94037,-58.49028,V1345 Cen,0,DCEPS(B),,11.35,,V,,,11.78,,V,2460344.873,,,0.631355,,,B
0.027622,5935622056931548032,314868712,244.66408798571,-49.41387564628,7.717,7.62851,59010,244.66408,-49.41387,NSV 20575,0,GCAS,,7.47,,V,,,7.75,,V,,,,,,B2Vne,B
0.027697,458345062857953408,348137087,34.43606695260991,56.89999709777929,9.047,9.35571,26026,34.43608,56.9,V0502 Per,0,BE,,9.36,,V,,,9.56,,V,,,,,,B1Ve,B
0.027873,270240480435597568,104741817,64.27266270041,48.58475394775,10.653,11.2659,2979266,64.27267,48.58476,Gaia DR3 270240480435597568,0,RS,,11.2,,G,,,11.32,,G,,,,0.0183627,,B,
0.027952,3449520717707461888,115730751,84.21154795134663,34.13699587992531,10.141,10.1883,2389041,84.21154,34.137,TIC 115730751,0,HB,,10.21,,V,Y,,0.016,,TESS,2459915.071,,,8.8617,,B2II,
0.027959,5972210814607115264,189182004,258.93021613378,-39.79815617312,8.906,9.50067,6303153,258.93021,-39.79815,Gaia DR3 5972210814607115264,0,RS,,9.49,,G,,,9.55,,G,,,,,,B,
0.028315,4157548756549424128,15350579,274.69418227693,-9.92210246137,10.423,11.1967,1498781,274.69418,-9.92211,NADA-V111,0,GCAS,,11.57,,V,,,11.84,,V,,,,,,OBe,
0.02849,506705333761657216,347486792,33.03107750887,58.21312219566,10.43,10.6746,2788367,33.03108,58.21313,Gaia DR3 506705333761657216,0,BCEP,,10.63,,G,,,10.72,,G,,,,0.1980419,,B,
0.029081,461193695624775424,251437844,44.83380360849378,58.74492214178172,10.356,10.9671,2856752,44.8338,58.74493,Gaia DR3 461193695624775424,0,BE|GCAS|SDOR|WR,,10.94,,G,,,11.01,,G,,,,,,B,
0.029185,5969526563125802624,337806832,253.0740701698074,-41.60491341940936,7.919,9.0649,6079783,253.07408,-41.60491,Gaia DR3 5969526563125802624,0,ACV|roAm|roAp|SXARI,,9.05,,G,,,9.08,,G,,,,,,B,
0.029229,458071460565394304,372115762,37.64288447301,57.60936243978,10.288,10.6305,2817090,37.64289,57.60937,Gaia DR3 458071460565394304,0,BCEP,,10.6,,G,,,10.68,,G,,,,0.1903576,,B,
0.029363,5964245711850635008,246075936,252.51251264915743,-45.23652794014172,7.587,9.16644,6062784,252.51251,-45.23652,Gaia DR3 5964245711850635008,0,DSCT|GDOR|SXPHE,,9.14,,G,,,9.21,,G,,,,6.2795,,B,
0.029408,4145230446787680128,358347559,270.1610348341088,-15.802383517470242,8.51,8.61354,225595,270.16104,-15.80239,HD 164188,0,BCEP,,8.67,,V,Y,,0.012,,V,,,,0.175064,,B1Ib/II,B
0.029447,203399656754949888,187258755,72.47249956617424,41.73239182678379,9.166,9.22719,3048377,72.4725,41.7324,Gaia DR3 203399656754949888,0,BCEP,,9.22,,G,,,9.25,,G,,,,,,B,
0.029566,4660246228686276096,276864037,83.59363317079,-67.02321188101,9.769,9.82846,2219136,83.59363,-67.02322,LMC V3341,0,ACYG,,9.77,,V,,,9.97,,V,,,,,,A0Iae,
