angDist,GaiaDR3,TIC,ra,dec,Tmag,Gmag,OID,RAJ2000,DEJ2000,Name,V,Type,l_max,max,u_max,n_max,f_min,l_min,min,u_min,n_min,Epoch,u_Epoch,l_Period,Period,u_Period,Sp,n_OID
0.063273,3027324470443330816,259064165,113.36506744021,-16.8660371764,10.242,10.4789,3483005,113.36508,-16.86605,Gaia DR3 3027324470443330816,0,DSCT|GDOR|SXPHE,,10.47,,G,,,10.5,,G,,,,8.9919,,B,
0.063546,5338276669721457920,465018235,162.3068173619608,-60.18424305523161,8.116,8.21211,4614684,162.30685,-60.18425,Gaia DR3 5338276669721457920,0,DSCT|GDOR|SXPHE,,8.19,,G,,,8.25,,G,,,,2.55814,,B,
0.063598,5969698194333785088,341516367,254.2277907602504,-40.51234565785441,7.024,7.15723,46684,254.22778,-40.51233,NSV 8060,2,CST,,7.1,,V,,,,,,,,,,,O6.5III(f),B
0.063735,524042192591198592,420295471,10.97121936558,64.04715843698,10.274,10.6763,227131,10.97125,64.04717,NSVS 1669390,0,EA,,10.76,,V,,,11.21,,V,2455785.54,,,1.4037308,,OB-,B
0.063754,5835180742015421952,208522252,244.84257475166527,-57.2231456677183,9.146,9.21027,5844753,244.84259,-57.22313,Gaia DR3 5835180742015421952,0,DSCT|GDOR|SXPHE,,9.27,,G,,,9.35,,G,,,,0.83682,,B,
0.063781,515054715828855424,11999540,31.14343198902323,64.31017262687527,9.504,9.67919,2776085,31.14344,64.31019,Gaia DR3 515054715828855424,0,DSCT|GDOR|SXPHE,,9.65,,G,,,9.71,,G,,,,2.58931,,B,
0.063799,2014170066460441088,377666925,348.54934988977,60.96423997554,10.881,11.6991,8200155,348.54938,60.96425,Gaia DR3 2014170066460441088,0,L,,11.61,,G,,,11.81,,G,,,,,,O,
0.063955,5976605150263037184,346772837,255.90966755922776,-37.16124094457427,8.511,8.41651,6175174,255.90965,-37.16123,Gaia DR3 5976605150263037184,0,DSCT|GDOR|SXPHE,,8.41,,G,,,8.46,,G,,,,6.8097,,B,
0.064015,5693930885554603776,155215560,123.0538067712,-26.95613668987,10.085,10.1915,3726108,123.05382,-26.95615,Gaia DR3 5693930885554603776,0,DSCT|GDOR|SXPHE,,10.16,,G,,,10.25,,G,,,,8.2815,,B,
0.064036,5862162796085878784,442497840,198.0932396989062,-63.81220971875509,8.637,8.59219,411945,198.09328,-63.81221,ASAS J131222-6348.7,0,GCAS,,8.22,,V,,,8.7,,V,,,,,,B0V:e,B
0.064125,2202643161381066240,388323676,326.14171987304843,59.05715218769435,9.24,9.40832,8787,326.14172,59.05717,V0435 Cep,0,BE,,9.48,,Hp,,,9.59,,Hp,,,,,,B2III:nn,B
0.064192,5601552426845288192,127977898,117.5751743549774,-27.250922594174984,10.733,10.8628,42384,117.57517,-27.25094,NSV 3760,0,EA,,10.93,,V,,,11.33,,V,2453855.64,,,2.69894,,B0V,B
0.064251,5351451567771333888,457975914,158.70278662979692,-58.150312241218096,9.758,9.71124,6153,158.70279,-58.15033,V0400 Car,0,BCEP,,9.76,,V,Y,,0.01,,B,,,,0.14575,,B1V,B
0.064388,5337239658437912960,467238286,168.01871643068006,-61.09525752390036,8.059,8.29366,5909,168.01875,-61.09525,EM Car,0,EA/DM,,8.37,,V,,,8.85,,V,2454202.738,,,3.41427,,O7.5V((f))+O7.5V((f)),B
0.064406,429302051629352960,359247720,1.701242745233434,60.60022812302184,9.296,9.64242,2547690,1.70127,60.60024,Gaia DR3 429302051629352960,0,BE|GCAS|SDOR|WR,,9.59,,G,,,9.66,,G,,,,,,B,
0.064452,5941447617454235520,2323229,246.05179635815,-49.1286977439,9.918,10.1849,5875462,246.0518,-49.12868,Gaia DR3 5941447617454235520,0,BCEP,,10.15,,G,,,10.23,,G,,,,0.0294849,,B,
0.064564,453467015100362240,470910164,42.42546012594,53.92708640945,8.51,8.8084,2844427,42.42548,53.9271,Gaia DR3 453467015100362240,0,DSCT|GDOR|SXPHE,,8.8,,G,,,8.83,,G,,,,1.81241,,B,
0.064671,5619343040379011072,349120591,114.23388187593,-21.05262371412,8.598,8.44732,409774,114.23389,-21.05264,HD 61134,0,ACV:,,8.46,,V,,,8.51,,V,2451968.65,,,4.617,,B9,B
0.064766,3377474634180963584,319753914,95.13568948255,23.31730811421,8.67,9.23234,79638,95.13567,23.31731,ASAS J062032+2319.1,0,EC|ESD,,9.41,,V,Y,,0.2,,V,2452623.89,,,1.46976,,OB-,B
0.064811,2007419992784958464,343878276,341.89593790397697,58.12678392795208,11.529,11.7581,9999194,341.89597,58.12679,Gaia DR3 2007419992784958464,0,DSCT|GDOR|SXPHE,,11.73,,G,,,11.76,,G,,,,5.2807,,B,
0.064811,4251858954177088128,145576502,281.6586704794163,-7.931984709990262,9.155,9.2905,34571,281.65866,-7.93197,V0455 Sct,0,GCAS,,8.7,,V,,,9.39,,V,,,,,,B1IVe,B
0.064865,5940487262811728640,25883580,248.68142071781,-49.55265698201,9.124,9.45427,59125,248.68143,-49.55264,NSV 20690,0,GCAS,,9.2,,V,,,9.69,,V,,,,,,B1Vne,B
0.06518,5940488637201284864,25888574,248.77699818871,-49.49060639959,9.761,10.3379,5949606,248.77701,-49.49059,Gaia DR3 5940488637201284864,0,BE|GCAS|SDOR|WR,,10.32,,G,,,10.37,,G,,,,,,B,
0.065261,5963036489581165184,125100416,256.3276790973555,-46.15199090653466,9.081,9.09299,6190765,256.3277,-46.15198,Gaia DR3 5963036489581165184,0,BCEP,,9.08,,G,,,9.12,,G,,,,,,B,
0.065302,2166788465159942912,366850508,311.97379784718,47.93942956937,9.218,9.39417,9963331,311.97382,47.93944,Gaia DR3 2166788465159942912,0,BE|GCAS|SDOR|WR,,9.36,,G,,,9.44,,G,,,,,,B,
0.065457,5861920864802544768,438031537,194.97816862462216,-64.02527851026099,9.531,9.96641,95748,194.97821,-64.02528,ASAS J125955-6401.5,0,MISC,,10.25,,V,Y,,0.28,,V,2452174.9,,,198.678574,,OB-,B
0.065678,2190898143802725376,375335283,315.64494187585,59.43593425512,10.318,10.944,7880597,315.64496,59.43595,Gaia DR3 2190898143802725376,0,RS,,10.81,,G,,,11.06,,G,,,,,,B,
0.065681,2162688656864963584,273291038,315.94360314699,45.35035811013,11.601,11.8514,2387920,315.9436,45.35034,Gaia23bdz,0,GCAS,,11.67,,G,,,11.91,,G,,,,,,,
0.065737,2214446453052866048,428008896,354.8145288549234,69.42421678341202,9.478,9.59342,8242355,354.81458,69.42422,Gaia DR3 2214446453052866048,0,DSCT|GDOR|SXPHE,,9.58,,G,,,9.62,,G,,,,3.62399,,B,
0.065882,6056007864266802048,436901392,193.8825144292548,-60.65015556213268,8.851,8.73421,683790,193.88255,-60.65015,HD 112181,0,SPB:,,8.79,,V,,,8.83,,V,2452829.59,,,0.683823,,B1Vn,B
0.065928,2061209849653687296,14209735,305.89071266375,38.89463259943,10.076,10.701,9953298,305.89072,38.89465,Gaia DR3 2061209849653687296,0,E,,10.67,,G,,,10.76,,G,,,,2.32216,,F,
0.066091,2007777127904706176,414019028,336.66353735897,57.12255519644,10.903,11.3746,1545373,336.66357,57.12256,MNIC V129,0,EA,,11.62,,V,,,11.67,,V,2457138.878,,,4.3594,,OB,
0.066659,4322551538790979328,68455555,291.64547586685563,16.922031910886165,10.722,11.3249,7437815,291.64548,16.92205,Gaia DR3 4322551538790979328,0,RS,,11.23,,G,,,11.37,,G,,,,,,B,
0.066869,5977059695238588800,45587958,257.89271007884,-35.83191917457,10.019,10.4082,6255488,257.89273,-35.83191,Gaia DR3 5977059695238588800,0,BCEP,,10.39,,G,,,10.43,,G,,,,,,B,
0.067163,458287548959789568,445613463,35.89764615935,56.57442674899,9.582,9.6496,25885,35.89767,56.57444,V0361 Per,0,GCAS,,9.06,,V,,,9.64,,V,,,,,,B1.5IIIpe,B
0.067371,5334206960516636288,290681621,174.00454622943,-61.62180037759,9.991,10.0129,57237,174.00458,-61.62181,NSV 18802,0,BE,,9.98,,V,,,10.1,,V,,,,,,B2Vnpe,B
0.067405,430884626818410496,419532013,8.20840434473,63.54245008954,10.213,10.4975,2595885,8.20844,63.54246,Gaia DR3 430884626818410496,0,BE|GCAS|SDOR|WR,,10.44,,G,,,10.55,,G,,,,,,B,
0.067522,1869678158220296448,236227349,313.77687111658,35.37722928847,10.105,10.2285,7855349,313.77689,35.37724,Gaia DR3 1869678158220296448,0,BCEP,,10.21,,G,,,10.25,,G,,,,,,B,
0.067727,510793730310035584,389538282,22.7089080901,61.89353427161,7.315,7.6202,623649,22.70893,61.89355,HD 9056,0,E,,7.757,,V,Y,,0.125,,w,2457285.517,,,6.339,,B3 Ia,B
0.067736,5972504182373839232,199833554,260.9176814518,-38.95306760218,9.815,10.0723,6387035,260.91769,-38.95305,Gaia DR3 5972504182373839232,0,BCEP,,10.03,,G,,,10.12,,G,,,,,,B,
0.067798,5255278518321286528,464579223,156.4459171827813,-58.93235176187395,9.382,9.71635,683744,156.44595,-58.93236,HD 302797,0,VAR,,9.94,,V,,,10.0,,V,,,,,,O9Ib,B
0.068182,5934879066290699264,315368472,244.76875268423635,-50.89967283296748,9.21,10.8279,462286,244.76874,-50.89969,GDS_J1619045-505358,0,VAR,,10.84,,r,Y,,0.17,,r,,,,,,B0,B
0.068327,5972634337072797952,192116218,259.56813973285,-38.97359882479,10.032,10.6226,105404,259.56812,-38.97361,ASAS J171816-3858.4,0,ESD,,10.92,,V,Y,,0.13,,V,2451940.5,,,4.58239,,,B
0.068362,6057803057517670528,383234040,183.9591401518,-61.33165752775,8.721,9.20271,57768,183.95917,-61.33167,NSV 19333,1,,,9.42,,V,,,,,,,,,,,O9.5Ia,B
0.068391,5254478593582508288,458404466,160.05170858337783,-59.80279945451865,6.802,8.08249,411465,160.05174,-59.80281,ASAS J104012-5948.2,0,ELL,,8.1,,V,,,8.25,,V,2452736.6,,,1.29595,,O8V,B
0.068482,5614527694848197760,127573149,117.22190414377,-24.5431375972,10.254,10.4325,10378956,117.22192,-24.54315,Gaia DR3 5614527694848197760,0,DSCT|GDOR|SXPHE,,10.41,,G,,,10.45,,G,,,,1.41436,,B,
0.068513,1977074811892425600,430296386,332.26206158309,51.04584489597,8.538,9.07601,16597,332.26208,51.04586,Y Lac,0,DCEP,,8.76,,V,,,9.5,,V,2441746.745,,,4.323776,,F5-G0,B
0.06857,3046470472570724736,177129056,106.45681188636829,-10.660073223678282,6.665,6.47656,19397,106.45683,-10.66008,V0569 Mon,0,BCEP,,6.42,,V,,,6.53,,V,,,,0.267,:,B0V,B
0.068687,4268031636304788480,180952390,287.61616471974,2.12561856013,11.113,11.4753,705839,287.61618,2.12563,ASASSN-V J191027.88+020732.3,0,RRC,,11.53,,V,,,11.64,,V,2458008.823,,,0.216239,,,
0.068727,5333648511689458304,318670307,173.32502779838154,-63.10449989850903,7.983,9.5547,144484,173.32507,-63.1045,V1228 Cen,0,BCEP,,9.55,,V,Y,,0.04,,V,2450558.751,,,0.16848,,B1III,B
0.068891,2013226062703582720,313446637,345.00527390303506,58.5109167296514,11.52,11.6559,8175913,345.00531,58.51092,Gaia DR3 2013226062703582720,0,DSCT|GDOR|SXPHE,,11.62,,G,,,11.66,,G,,,,1.49204,,B,
0.06912,5334747134324944512,304279911,177.8272529723365,-61.99609185280725,9.259,9.23801,225507,177.82729,-61.9961,HD 103007,0,BCEP,,9.29,,V,Y,,0.024,,V,,,,0.1752161,,B2/3(III),B
0.069248,5880238870279687424,40822942,227.8059270645,-57.35468472884,9.501,10.1565,99705,227.80595,-57.35467,ASAS J151113-5721.2,0,ACV|EC|ESD,,10.39,,V,Y,,0.1,,V,2451922.06,,,0.945548,,OB,B
0.069394,6055863347211424896,442170794,197.7587370914065,-60.12269014048133,9.044,9.014,683794,197.75877,-60.12268,HD 114341,0,GCAS,,9.04,,V,,,9.22,,V,,,,,,B0III:nn,B
0.069607,5868489557757038848,443484514,199.43618426179708,-62.45401003475672,9.116,9.23742,10430052,199.43622,-62.454,Gaia DR3 5868489557757038848,0,BCEP,,9.22,,G,,,9.26,,G,,,,,,B,
0.069843,3441703598051819776,75424069,85.1352315578,27.44277678095,8.428,8.41432,36181,85.13521,27.44278,V1164 Tau,0,GCAS,,8.18,,V,,,8.48,,V,,,,,,B2/3Vn(e),B
0.070178,4256838985870584832,44980675,278.56602893053696,-4.813574916726352,8.263,8.55212,225617,278.56601,-4.81357,HD 171305,0,BCEP,,8.7,,V,Y,,0.02,,V,,,,0.193851,,B2II,B
