TIC,class_raw,class_paper,class_tokens,reference,method,period,class_is_inferred,source_table,ra_deg,dec_deg,tic
427395058,SLF,SLF,SLF,2020A&A...640A..36B (Bowman+ 2020),visual+spectroscopy (SLF morphology fit),,True,J/A+A/640/A36/tablea2,83.86,-5.41689,427395058
427395300,Ambiguous variability,AMBIGUOUS,AMBIGUOUS,2025ApJ...989..177C (Campelo+ 2025),visual,,False,"ApJ 989,177 Table 7 (article HTML)",,,427395300
430625455,SLF+SPB?,PULS,PULS|SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,0.6377551020408163,False,J/A+A/639/A81/table2 x tablea1,131.29309,-46.03868,430625455
430625455,SLF,SLF,SLF,2020A&A...640A..36B (Bowman+ 2020),visual+spectroscopy (SLF morphology fit),,True,J/A+A/640/A36/tablea2,131.29309,-46.03868,430625455
433738620,rot?,ROT,ROT,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,0.8082767539605561,False,J/A+A/639/A81/table2 x tablea1,190.55293,-60.65242,433738620
433738620,SLF,SLF,SLF,2020A&A...640A..36B (Bowman+ 2020),visual+spectroscopy (SLF morphology fit),,True,J/A+A/640/A36/tablea2,190.55293,-60.65242,433738620
438103655,Be=Y; signals=S/I/L,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,95.85284,15.10181,438103655
447970564,Be=Y; signals=G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,1.1235955056179776,False,J/AJ/163/226/table2,136.02722,-45.67676,447970564
449459169,Be=Y; signals=G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.9615384615384616,False,J/AJ/163/226/table2,200.1478,-63.41202,449459169
455463415,Be=N (rejected/other); signals=,OTHER,OTHER,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,229.152875,-60.9039944444,455463415
455809360,Be=U (rejected/other); signals=,OTHER,OTHER,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,230.03879,-62.25223,455809360
464295672,SLF+SPB?,PULS,PULS|SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,1.721170395869191,False,J/A+A/639/A81/table2 x tablea1,155.93523,-57.64209,464295672
464295672,SLF,SLF,SLF,2020A&A...640A..36B (Bowman+ 2020),visual+spectroscopy (SLF morphology fit),,True,J/A+A/640/A36/tablea2,155.93523,-57.64209,464295672
465012898,SLF+rot,ROT,ROT|SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,2.902757619738752,False,J/A+A/639/A81/table2 x tablea1,162.15738,-60.22375,465012898
465012898,SLF,SLF,SLF,2020A&A...640A..36B (Bowman+ 2020),visual+spectroscopy (SLF morphology fit),,True,J/A+A/640/A36/tablea2,162.15738,-60.22375,465012898
466353921,Be=Y; signals=S/I/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,165.79036,-61.76875,466353921
466527712,Be=Y; signals=L/F+/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.641025641025641,False,J/AJ/163/226/table2,166.25032,-61.3936,466527712
466715331,Be=S; signals=S/I/L/H,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,166.80678,-62.04959,466715331
466880435,Be=Y; signals=G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,1.3333333333333333,False,J/AJ/163/226/table2,167.32821,-60.71188,466880435
467065657,SLF+SPB?,PULS,PULS|SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,2.0202020202020203,False,J/A+A/639/A81/table2 x tablea1,167.67525,-60.38446,467065657
467065657,SLF,SLF,SLF,2020A&A...640A..36B (Bowman+ 2020),visual+spectroscopy (SLF morphology fit),,True,J/A+A/640/A36/tablea2,167.67525,-60.38446,467065657
467065657,Be=N (rejected/other); signals=,OTHER,OTHER,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,167.67525,-60.38446,467065657
467409163,Be=Y; signals=G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.7299270072992701,False,J/AJ/163/226/table2,168.37294,-61.26416,467409163
