angDist,ID,database,ra,dec,TIC,RAdeg,DEdeg,HIP,TYC,UCAC4,2MASS,objID,WISEA,GAIA,APASS,KIC,S/G,Ref,r_Pos,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,Plx,e_Plx,Vmag,e_Vmag,Gmag,e_Gmag,Tmag,e_Tmag,f_Tmag,Flag,Teff,s_Teff,logg,s_logg,[M/H],e_[M/H],Rad,s_Rad,Mass,s_Mass,Dist,s_Dist,E(B-V),s_E(B-V),e_Dist,E_Dist,RAOdeg,DEOdeg,l,b,sector_list,filenames,TPfPloter,sector_TPfPloter,delta
0.141609,OGLE-GD-LPV-017926,4,276.37679166666663,-7.995111111111111,384446993,276.37677989062,-7.99514867853,0,,,18253042-0759425,0,J182530.42-075942.5,4159347901154528128,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,14.4839,0.070146,9.622,1.0,jhk,,,,,,,,,,,,,,,,,,276.37677989062,-7.99514867853,22.860098821118445,2.067878251741932,[80],['hlsp_tess-spoc_tess_phot_0000000384446993-s0080_tess_v1_lc.fits'],Gaia_TIC384446993_S80.dat,80,-3.1122200000000007
0.02877,OGLE-GD-LPV-000450,4,129.17041666666665,-35.574000000000005,11819849,129.17041948042,-35.57400765697,0,,273-037420,08364090-3534263,0,J083640.91-353426.3,5542435156952134016,17977562,0,STAR,tmgaia2,tmgaia2,-2.712,0.083,3.571,0.083,gaia2,0.1934,0.0534,11.283,0.023,11.6566,0.018362,10.214,0.021,rered,gaia2,3212.0,148.0,,,,,,,,,4094.63,888.88,0.3625,0.0264,727.91,1049.85,129.17040512622,-35.57399228222,-103.97381556648811,3.1864913542146733,"[61, 62]","['hlsp_tess-spoc_tess_phot_0000000011819849-s0061_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000011819849-s0062_tess_v1_lc.fits']",Gaia_TIC11819849_S61.dat,61,-3.9591559999999983
0.103919,OGLE-GD-LPV-006841,4,222.71829166666663,-60.36719444444444,294554218,222.71824259721,-60.36717880382,0,,,14505240-6022017,0,J145052.39-602201.5,5878183058402739712,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,12.3929,0.001678,8.13,1.0,jhk,,,,,,,,,,,,,,,,,,222.71824259721,-60.36717880382,-42.8158710162956,-0.8431439704782517,[65],['hlsp_tess-spoc_tess_phot_0000000294554218-s0065_tess_v1_lc.fits'],Gaia_TIC294554218_S65.dat,65,-2.5472129999999993
0.05223,OGLE-BLG-LPV-261461,4,274.47516666666667,-11.68425,15121710,274.47517958935,-11.68425709543,0,,,18175404-1141033,0,J181754.02-114103.4,4153879926732862336,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,13.8335,0.063156,8.4,1.0,jhk,,,,,,,,,,,,,,,,,,274.47517958935,-11.68425709543,18.72071208499594,1.9906860282976544,[80],['hlsp_tess-spoc_tess_phot_0000000015121710-s0080_tess_v1_lc.fits'],Gaia_TIC15121710_S80.dat,80,-2.667902999999999
0.145556,OGLE-GD-LPV-006772,4,222.320625,-66.6563888888889,258705180,222.320541691,-66.65641223523,0,,117-102022,14491691-6639226,0,J144916.92-663922.9,5848621691885171712,32940882,0,STAR,tmgaia2,tmgaia2,-2.002,0.14,-3.393,0.191,gaia2,0.308,0.1145,16.792,0.092,12.0693,0.01943,10.252,0.021,rered,gaia2,,,,,,,,,,,3063.21,1315.89,0.2533,0.0174,881.74,1750.04,222.32051994026,-66.65642684261,-45.75841587219345,-6.40802808744846,[65],['hlsp_tess-spoc_tess_phot_0000000258705180-s0065_tess_v1_lc.fits'],Gaia_TIC258705180_S65.dat,65,-3.745094
0.078408,OGLE-GD-LPV-024085,4,286.16816666666665,11.450777777777777,223626623,286.16816315064,11.45075627217,0,,,19044035+1127029,0,J190440.35+112702.7,4313463594184399360,42054233,0,STAR,tmgaia2,tmgaia2,,,,,,,,15.306,0.06,13.0732,0.031473,10.361,0.031,vjk,,,,,,,,,,,,,,,,,,286.16816315064,11.45075627217,44.623476998187606,2.302822943803412,[80],['hlsp_tess-spoc_tess_phot_0000000223626623-s0080_tess_v1_lc.fits'],Gaia_TIC223626623_S80.dat,80,-4.081990000000001
0.02385,OGLE-BLG-LPV-235363,4,258.8904166666666,-35.609722222222224,151820171,258.89041848416,-35.60972868036,0,,,17153370-3536348,0,J171533.70-353634.8,5975527976765274240,0,0,STAR,tmgaia2,tmgaia2,-4.73,0.646,-2.325,0.48,gaia2,-0.0567,0.3671,,,15.4324,0.095079,9.991,1.0,jhk,gaia2,,,,,,,,,,,4148.6,2424.26,1.2217,0.3923,1808.16,3040.37,258.89039343578,-35.60973869156,-9.063919949596428,1.629749823257374,[66],['hlsp_tess-spoc_tess_phot_0000000151820171-s0066_tess_v1_lc.fits'],Gaia_TIC151820171_S66.dat,66,-2.651692999999998
0.108097,OGLE-GD-LPV-021534,4,282.2078333333333,-2.591888888888889,182397052,282.2078341495,-2.59191890476,0,,,18484988-0235306,1237668687975023754,J184849.87-023531.1,4259037528046264576,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,15.0743,0.045717,9.625,1.0,jhk,,,,,,,,,,,,,,,,,,282.2078341495,-2.59191890476,30.32809283094486,-0.6021173254874584,[80],['hlsp_tess-spoc_tess_phot_0000000182397052-s0080_tess_v1_lc.fits'],Gaia_TIC182397052_S80.dat,80,-4.358669999999998
0.097909,OGLE-GD-LPV-010701,4,241.3012916666666,-46.33652777777778,161593508,241.30126408053,-46.3365471923,0,,219-111801,16051229-4620116,0,J160512.32-462011.6,5984971201140828928,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,14.741,0.092,13.3094,0.008655,10.182,0.084,vjk,,,,,,,,,,,,,,,,,,241.30126408053,-46.3365471923,-25.85653078902894,4.459997887154166,[65],['hlsp_tess-spoc_tess_phot_0000000161593508-s0065_tess_v1_lc.fits'],Gaia_TIC161593508_S65.dat,65,-3.0658389999999986
0.087591,OGLE-GD-LPV-022845,4,283.9929583333333,-2.186138888888889,57318739,283.9929675181,-2.18616142219,0,,,18555831-0211103,0,J185558.30-021110.3,4264915139303404288,1741459,0,STAR,tmgaia2,tmgaia2,-0.279,0.311,-0.995,0.251,gaia2,0.2089,0.2327,15.77,0.06,12.4805,0.033771,10.263,0.053,rered,gaia2,,,,,,,,,,,3376.51,1891.53,1.1652,0.1913,1316.9,2466.16,283.99296631643,-2.18616570501,31.50217504124309,-2.0049953708386563,[80],['hlsp_tess-spoc_tess_phot_0000000057318739-s0080_tess_v1_lc.fits'],Gaia_TIC57318739_S80.dat,80,-2.9132169999999995
