angDist,GaiaDR3,ra,dec,TIC,RAdeg,DEdeg,HIP,TYC,UCAC4,2MASS,objID,WISEA,GAIA,APASS,KIC,S/G,Ref,r_Pos,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,Plx,e_Plx,Vmag,e_Vmag,Gmag,e_Gmag,Tmag,e_Tmag,f_Tmag,Flag,Teff,s_Teff,logg,s_logg,[M/H],e_[M/H],Rad,s_Rad,Mass,s_Mass,Dist,s_Dist,E(B-V),s_E(B-V),e_Dist,E_Dist,RAOdeg,DEOdeg,l,b,num_counterparts,TIC_multiple_counterpart,sector_list,filenames
0.037947,5934774303451279232,245.16481844152,-51.58539223367,316707872,245.16482642171,-51.58538293193,0,8324-02058-1,193-131941,16203956-5135073,0,J162039.55-513507.3,5934774303451279232,24905252,0,STAR,tmgaia2,tmgaia2,-1.104,0.068,-2.091,0.045,gaia2,0.5847,0.0425,9.834,0.004,9.49553,0.000333,8.978,0.051,rered,gaia2,11861.0,128.0,,,,,19.072,,,,1636.19,117.005,0.9461,0.0595,108.84,125.17,245.16481877292,-51.58539193696,-27.612378553159576,-1.0973145608686443,1,[316707872],[66],['hlsp_tess-spoc_tess_phot_0000000316707872-s0066_tess_v1_lc.fits']
0.037947,3028364505366471424,113.33506017181,-15.45189365854,405029200,113.33506741332,-15.45190155731,0,5979-02431-1,373-033525,07332041-1527068,0,J073320.41-152706.8,3028364505366471424,7985682,0,STAR,tmgaia2,tmgaia2,-1.579,0.047,1.771,0.049,gaia2,0.2089,0.0341,11.676,0.017,11.682,0.002314,11.397,0.022,rered,gaia2,8794.0,145.0,,,,,11.934,,,,4048.85,568.835,0.3801,0.0255,495.94,641.73,113.33506035905,-15.45189393303,-128.57342342644125,1.9758481952152571,1,[405029200],,
0.037949,526925215154528256,9.88266211466,63.68369655336,428526269,9.88268582133,63.68369736801,0,4020-00310-1,769-006627,00393182+6341012,0,J003931.83+634101.2,526925215154528256,58465058,0,STAR,tmgaia2,tmgaia2,-2.35,0.043,-0.175,0.04,gaia2,0.3745,0.0327,10.615,0.006,10.5856,0.001022,10.097,0.019,rered,gaia2,8823.0,127.0,,,,,17.804,,,,2477.56,205.35,0.6919,0.0224,188.88,221.82,9.88266299867,63.68369661618,121.61255906587932,0.8424564607738984,1,[428526269],"[58, 78]","['hlsp_tess-spoc_tess_phot_0000000428526269-s0058_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000428526269-s0078_tess_v1_lc.fits']"
0.037954,3317889517795167104,94.34176379527,4.95401386274,265360782,94.34176345442,4.95402440013,0,0140-02289-1,475-017547,06172202+0457145,0,J061722.02+045714.5,3317889517795167104,36442095,0,STAR,tmgaia2,tmgaia2,0.08,0.08,-2.383,0.07,gaia2,0.4779,0.0568,12.116,0.024,11.922,0.000225,11.537,0.009,rered,gaia2,7735.0,122.0,,,,,6.229,,,,1984.79,234.26,0.3609,0.0097,207.73,260.79,94.34176379852,4.95401414099,-155.3911684433289,-5.275873396012274,1,[265360782],,
0.037969,4095806952373390720,272.61918043496,-18.04359784292,185656230,272.61917789751,-18.04358757568,0,6268-00764-1,360-134167,18102860-1802370,0,J181028.62-180237.0,4095806952373390720,9344470,0,STAR,tmgaia2,tmgaia2,0.549,0.105,-2.298,0.085,gaia2,0.5702,0.0515,11.237,0.014,11.109,0.002309,10.668,0.068,rered,gaia2,14614.0,122.0,,,,,,,,,1679.79,149.92,0.9146,0.0766,136.92,162.92,272.619180382,-18.04359747067,12.275877837186208,0.5272189578083293,2,[ 185656230 1642207359],,
0.037972,5933050063152241920,243.26671535482,-53.14885461791,409583640,243.26672128615,-53.14884468817,0,8710-00042-1,185-141772,16130400-5308558,0,J161304.00-530854.8,5933050063152241920,26830563,0,STAR,tmgaia2,tmgaia2,-0.786,0.09,-2.229,0.068,gaia2,0.2878,0.0569,11.403,0.019,11.0402,0.000573,9.934,0.6,rered,gaia2,,,,,,,,,,,3145.26,610.4,1.0238,0.1406,502.57,718.23,243.26671564233,-53.14885428328,-29.532745059988603,-1.4151912413161558,1,[409583640],,
0.037975,2013040902386020096,357.95948481072,62.4383441961,470756167,357.95950657359,62.43834733796,0,4285-00328-1,763-075177,23515027+6226181,1237649768108523751,J235150.27+622617.9,2013040902386020096,58442602,0,STAR,tmgaia2,tmgaia2,-2.253,0.04,-0.693,0.035,gaia2,0.1559,0.0231,11.623,0.016,11.486,0.000422,11.175,0.02,rered,gaia2,11577.0,141.0,,,,,16.621,,,,5208.92,628.855,0.6232,0.0222,558.94,698.77,357.95948560435,62.43834435297,116.09878009073958,0.3599387198832333,1,[470756167],,
0.037975,5964162428173717376,253.81523899074,-44.5559931411,247341504,253.81524183468,-44.55598278897,0,7880-03976-1,228-128873,16551565-4433214,0,J165515.68-443321.8,5964162428173717376,21437192,0,STAR,tmgaia2,tmgaia2,-0.444,0.087,-2.324,0.074,gaia2,0.3644,0.0413,10.917,0.011,10.5488,0.000692,9.083,0.6,rered,gaia2,,,,,,,,,,,2546.49,278.82,1.5693,0.1512,249.53,308.11,253.8152391543,-44.55599279658,-18.53240446997337,-0.6897953801229193,1,[247341504],[66],['hlsp_tess-spoc_tess_phot_0000000247341504-s0066_tess_v1_lc.fits']
0.037981,506797039902075776,33.41781844546,58.25825992828,347692492,33.4178226354,58.25827024575,0,,742-022925,02134028+5815297,0,J021340.27+581529.7,506797039902075776,58095230,0,STAR,tmgaia2,tmgaia2,-0.489,0.065,-2.326,0.091,gaia2,0.3382,0.04,11.172,0.069,10.7971,0.003908,10.034,0.013,rered,gaia2,5562.0,134.0,,,,,30.878,,,,2700.31,300.935,0.4523,0.0161,269.1,332.77,33.41781863159,58.25826023309,133.5918819825974,-2.9012854654270988,1,[347692492],[58],['hlsp_tess-spoc_tess_phot_0000000347692492-s0058_tess_v1_lc.fits']
0.037989,5941378932335026944,246.55221417984,-49.50788974029,6187990,246.55222074347,-49.50788008668,0,,203-126437,16261252-4930283,0,J162612.52-493028.3,5941378932335026944,23911284,0,STAR,tmgaia2,tmgaia2,-0.946,0.083,-2.165,0.048,gaia2,0.3331,0.0492,11.452,0.023,11.1225,0.001111,9.344,0.6,rered,gaia2,,,,,,,,,,,2760.5,396.225,2.0431,0.2781,342.69,449.76,246.55221447284,-49.50788941019,-25.51548724711687,-0.2627306976570969,1,[6187990],[66],['hlsp_tess-spoc_tess_phot_0000000006187990-s0066_tess_v1_lc.fits']
