TIC,sector,source,per,power,prominence,width,amplitude,brf_class,brf_prob,instability,sigma_brf,entropy,sigma_top,brf_class_raw,cube_idx,sector_class,final_class_tic,decision_step
2323229,39.0,LS,0.166160146515182,0.2123755812313847,0.0968455280251735,3.5260028061948105,0.1037568040192127,DST,0.966,0.06,0.1792319123370612,0.63174534,0.32183027,DST,69271.0,DST,DST,2
2323229,66.0,LS,0.1647293615671111,0.437234767692417,0.4372346611398663,4.492210543688998,0.0999594200402498,DST,0.966,0.0,0.0821247831047364,0.5761,0.3145741,DST,69296.0,DST,DST,2
3572937,43.0,LS,0.1009173257989119,0.3036056117073747,0.3036046528602504,4.283917734416718,0.0045412426698021,DST,0.964,0.0,0.0178348423037603,0.029334795,0.0133448765,DST,38472.0,DST,DST,2
3572937,44.0,LS,0.1009073911357217,0.3333008600844033,0.3332982368250038,4.211969166142808,0.0039008591556921,DST,0.96,0.0,0.0280827349095489,0.12017293,0.13792308,DST,38757.0,DST,DST,2
3572937,45.0,LS,0.1008613575207843,0.3206177176238017,0.320613251807764,4.257685447360018,0.0044068024726584,DST,0.988,0.0,0.0544294185160929,0.11551378,0.13886015,DST,38610.0,DST,DST,2
3572937,59.0,LS,0.1009121045243904,0.1801596437271062,0.1801593954868866,4.380367223675421,0.0060234923148527,DST,0.96,0.1,0.2408272044433518,0.8495064,0.40181652,DST,38792.0,DST,DST,2
3572937,73.0,LS,0.1008527829022704,0.205804015523867,0.2058039701455095,4.286888336762786,0.0056808022782206,DST,0.96,0.0,0.0587080096750009,0.6502056,0.34230953,DST,38813.0,DST,DST,2
10983075,54.0,LS,0.1980043892067828,0.0796115273585681,0.0796101246656846,4.511229249768803,0.0032575172372162,DST,0.897,0.08,0.1968661718020645,0.48541453,0.32558566,DST,123057.0,DST,DST,2
10983075,81.0,LS,0.1998553440468017,0.0831839080236117,0.0831830126550222,4.136729157162336,0.0053887476678937,DST,0.93,0.12,0.2531450177269937,0.8540031,0.3952128,DST,123107.0,DST,DST,2
10987644,41.0,LS,0.1090094921711977,0.5686750826692045,0.5686748809314913,4.332213981035238,0.0370411621406674,DST,0.956,0.0,0.0164341108673392,0.114873014,0.121737584,DST,120509.0,DST,DST,2
10987644,54.0,LS,0.108960012377361,0.3882870846181742,0.3882870839605715,4.455920798014631,0.0473556155338883,DST,0.949,0.0,0.0324478905323597,0.12448401,0.11254119,DST,120583.0,DST,DST,2
10987644,55.0,LS,0.1089590393991202,0.2515354585657138,0.2515347191351893,4.36608812069062,0.06188933737576,DST,0.946,0.0,0.0289364821635249,0.17917576,0.15385634,DST,120542.0,DST,DST,2
10987644,75.0,LS,0.1090335112407813,0.4190352015795942,0.4190344799264961,4.483239021345071,0.0634722830727696,DST,0.96,0.0,0.0249327094396096,0.16008106,0.1295819,DST,120834.0,DST,DST,2
10987644,82.0,LS,0.108976536859894,0.6386577875015428,0.6386572270667515,4.473205531372514,0.0532926572486758,DST,0.96,0.0,0.0327970974325472,0.11606492,0.12452148,DST,120613.0,DST,DST,2
11696250,14.0,LS,0.1467248959311487,0.3186100995572387,0.3186087556996894,4.396240616249997,0.0318541261367499,DST,0.982,0.0,0.0226463595308385,0.9859978,0.27567166,DST,110275.0,DST,DST,2
11696250,15.0,LS,0.1467903966800421,0.2714891674942822,0.2714890872390955,3.962527777712694,0.0355130061507225,DST,0.997,0.0,0.0107268634744738,0.68144864,0.20416899,DST,110256.0,DST,DST,2
11696250,41.0,LS,0.1316974236823697,0.2032388001902557,0.2031976625534404,4.314652183409635,0.030672145076096,DST,0.962,0.0,0.0306891772454068,0.30845305,0.18468636,DST,110296.0,DST,DST,2
11696250,55.0,LS,0.131681009241409,0.2149669308784552,0.2149392826012245,4.418398624076872,0.0326887494884431,DST,0.957,0.02,0.0865619685543252,0.3131179,0.25967267,DST,110322.0,DST,DST,2
11696250,75.0,LS,0.1316277586059009,0.2482342165659753,0.248234201153014,4.497653760477988,0.0331550929695367,DST,0.951,0.0,0.0580003448265611,0.2752507,0.21064824,DST,110349.0,DST,DST,2
11696250,81.0,LS,0.1316555343706702,0.2563478944724786,0.2563478694807632,4.328739784443314,0.0318631739355623,DST,0.959,0.0,0.02327862538897,0.22665484,0.14951897,DST,110538.0,DST,DST,2
11696250,82.0,LS,0.131615408309924,0.2578354500409503,0.2578348356394582,4.4006775092784665,0.0329077569767832,DST,0.958,0.02,0.1008904356220152,0.15796088,0.14185946,DST,110436.0,DST,DST,2
11698190,14.0,LS,0.1704323618863827,0.577869800893072,0.5778691395862949,4.383219993302646,0.0781821180135011,DST,0.998,0.0,0.0105043990784813,0.5524583,0.1664346,DST,112702.0,DST,DST,2
11698190,15.0,LS,0.1703117387432078,0.5536234048663752,0.5536233284824773,3.992262434832355,0.0978266075253486,DST,0.996,0.0,0.0169464568568182,0.04190159,0.020194288,DST,112757.0,DST,DST,2
11698190,41.0,LS,0.1703624505906028,0.5551268694326013,0.5551268627555491,4.500444811919806,0.0874598789960146,DST,0.968,0.0,0.0270106349425554,0.18201065,0.12556231,DST,112630.0,DST,DST,2
11698190,55.0,LS,0.1703427109103711,0.6385773356043314,0.6385771157461961,4.502339375563679,0.0815977621823549,DST,0.964,0.0,0.034745727794939,0.30709112,0.19228163,DST,112772.0,DST,DST,2
11698190,75.0,LS,0.180053068879665,0.1715402259232404,0.1709041134980815,4.2943194588551705,0.0792380794882774,DST,0.962,0.02,0.1372848950176238,0.5296078,0.33001038,DST,112799.0,DST,DST,2
11698190,81.0,LS,0.1704273357039049,0.6135367561439625,0.613536455550115,4.493804746671231,0.0872306991368532,DST,0.966,0.0,0.0203544982743372,0.1467083,0.10120812,DST,112812.0,DST,DST,2
12148301,41.0,LS,0.174615991457988,0.2516042273970471,0.2516040639446024,4.550011933435599,0.0111324596218764,DST,0.958,0.02,0.1093478925265594,0.19253503,0.16400935,DST,112032.0,DST,DST,2
12148301,55.0,LS,0.1747274084078426,0.2774292925345356,0.2774278492349802,4.34432254818239,0.0114716414827853,DST,0.956,0.0,0.0414323738156528,0.116243936,0.11266634,DST,112059.0,DST,DST,2
12245937,81.0,LS,0.1265245648814705,0.5080666521949572,0.5080666203138751,4.365587541647983,0.050183180719614,DST,0.964,0.0,0.0784456601731415,0.5098206,0.31595585,DST,102796.0,DST,DST,2
12245937,82.0,LS,0.1265881626770696,0.4748986564087634,0.4748985832666581,4.515671823541197,0.0525090005248785,DST,0.962,0.02,0.0986592114300534,0.51627886,0.29562843,DST,102814.0,DST,DST,2
12488548,75.0,LS,0.1591634868381772,0.4679336748941164,0.4679335414237991,4.698239595978521,0.0284549919888377,DST,0.956,0.0,0.0437860434385204,0.07382199,0.031387746,DST,113335.0,DST,DST,2
12488548,81.0,LS,0.1592151326127033,0.3598806198586379,0.3598805259615828,4.427898864145391,0.0227235932834446,DST,0.932,0.12,0.2288072166694049,0.81591344,0.42010927,DST,113353.0,DST,DST,2
